<1.907399610360822, C923H1756N274O464S5, C923H1756N274O464S5
1.9343740629183372, C929H1833N277O448S7; C923H1756N274O464S5
1.8918828012037887, C920H1768N270O467S6; C923H1756N274O464S5
1.938298981751178, C918H1760N278O466S4; C923H1756N274O464S5
1.9386735643193724, C916H1756N272O473S4; C923H1756N274O464S5
1.9123213807976387, C920H1760N274O466S5; C923H1756N274O464S5
1.9183677478840129, C915H1756N274O470S5; C923H1756N274O464S5
1.924171986323107, C922H1748N272O467S5; C923H1756N274O464S5
1.919790908526463, C916H1756N272O471S5; C923H1756N274O464S5
1.881919180874324, C918H1752N274O464S7; C923H1756N274O464S5
1.9007252343450969, C915H1756N274O468S6; C923H1756N274O464S5
1.8827883499515579, C924H1764N268O466S6; C923H1756N274O464S5
1.9142528032644222, C919H1748N270O469S6; C923H1756N274O464S5
1.9330711710074324, C923H1760N276O464S4; C923H1756N274O464S5
1.9315408836642824, C915H1752N272O472S5; C923H1756N274O464S5
1.891675512884641, C919H1756N274O465S6; C923H1756N274O464S5
1.8855638457661492, C929H1748N274O458S6; C923H1756N274O464S5
1.9042164293547506, C923H1760N268O469S5; C923H1756N274O464S5
1.9387467120122266, C916H1752N278O468S4; C923H1756N274O464S5
1.9189379325840952, C918H1768N274O467S5; C923H1756N274O464S5
1.9319028244678655, C922H1756N276O465S4; C923H1756N274O464S5
1.883522413289061, C918H1744N270O466S8; C923H1756N274O464S5
1.7157331463658871, C936H1817N247O448S18; C923H1756N274O464S5
1.9359606077417206, C916H1740N272O470S6; C923H1756N274O464S5
1.9523232936395447, C917H1748N274O471S4; C923H1756N274O464S5
1.9309761707312458, C924H1760N274O465S4; C923H1756N274O464S5
1.883772590832114, C923H1760N268O467S6; C923H1756N274O464S5
1.9104974693576215, C918H1760N270O471S5; C923H1756N274O464S5
1.9131443689550467, C922H1756N268O470S5; C923H1756N274O464S5
1.9086223183941222, C922H1768N266O471S5; C923H1756N274O464S5
1.9022056414700526, C918H1752N274O466S6; C923H1756N274O464S5
1.9116991988861385, C914H1752N274O469S6; C923H1756N274O464S5
1.8895351984169246, C912H1752N278O465S7; C923H1756N274O464S5
1.8919704299299582, C918H1760N270O469S6; C923H1756N274O464S5
1.930217082643901, C914H1752N274O471S5; C923H1756N274O464S5
