<1.062585353670873, C923H1756N274O464S5, C923H1756N274O464S5
1.1451972934370334, C929H1833N277O448S7; C923H1756N274O464S5
1.0552720295900588, C920H1768N270O467S6; C923H1756N274O464S5
1.1080234279551662, C918H1760N278O466S4; C923H1756N274O464S5
1.1011115713734756, C916H1756N272O473S4; C923H1756N274O464S5
1.0708970328765974, C920H1760N274O466S5; C923H1756N274O464S5
1.074173678904188, C915H1756N274O470S5; C923H1756N274O464S5
1.088413229258624, C922H1748N272O467S5; C923H1756N274O464S5
1.0772978142387941, C916H1756N272O471S5; C923H1756N274O464S5
1.04995027225793, C918H1752N274O464S7; C923H1756N274O464S5
1.0583059004416542, C915H1756N274O468S6; C923H1756N274O464S5
1.0417182812306387, C924H1764N268O466S6; C923H1756N274O464S5
1.0852248504039697, C919H1748N270O469S6; C923H1756N274O464S5
1.0998065377323782, C923H1760N276O464S4; C923H1756N274O464S5
1.0966284194362412, C915H1752N272O472S5; C923H1756N274O464S5
1.0463732250841884, C919H1756N274O465S6; C923H1756N274O464S5
1.049264832268649, C929H1748N274O458S6; C923H1756N274O464S5
1.057337154686857, C923H1760N268O469S5; C923H1756N274O464S5
1.099969257867872, C916H1752N278O468S4; C923H1756N274O464S5
1.086860049520206, C918H1768N274O467S5; C923H1756N274O464S5
1.0938322520837818, C922H1756N276O465S4; C923H1756N274O464S5
1.0726119911877574, C918H1744N270O466S8; C923H1756N274O464S5
0.912820203725074, C936H1817N247O448S18; C923H1756N274O464S5
1.1180520730022414, C916H1740N272O470S6; C923H1756N274O464S5
1.1234405421866314, C917H1748N274O471S4; C923H1756N274O464S5
1.0955480548226193, C924H1760N274O465S4; C923H1756N274O464S5
1.0389339966964595, C923H1760N268O467S6; C923H1756N274O464S5
1.0632845389482242, C918H1760N270O471S5; C923H1756N274O464S5
1.0710249533202227, C922H1756N268O470S5; C923H1756N274O464S5
1.0696719450029692, C922H1768N266O471S5; C923H1756N274O464S5
1.0632081352763065, C918H1752N274O466S6; C923H1756N274O464S5
1.0758632453641974, C914H1752N274O469S6; C923H1756N274O464S5
1.0528833523130376, C912H1752N278O465S7; C923H1756N274O464S5
1.0469346781088698, C918H1760N270O469S6; C923H1756N274O464S5
1.0937708674857378, C914H1752N274O471S5; C923H1756N274O464S5
