<0.36937468679486773, C923H1756N274O464S5, C923H1756N274O464S5
0.37642090579334403, C929H1833N277O448S7, C923H1756N274O464S5
0.3642238598124985, C920H1768N270O467S6, C923H1756N274O464S5
0.38833520847165803, C918H1760N278O466S4, C923H1756N274O464S5
0.40716926594456065, C916H1756N272O473S4, C923H1756N274O464S5
0.3704726426987928, C920H1760N274O466S5, C923H1756N274O464S5
0.38113767166747475, C915H1756N274O470S5, C923H1756N274O464S5
0.3780138365926966, C922H1748N272O467S5, C923H1756N274O464S5
0.3808212734747645, C916H1756N272O471S5, C923H1756N274O464S5
0.3494205442141688, C918H1752N274O464S7, C923H1756N274O464S5
0.36207811352400593, C915H1756N274O468S6, C923H1756N274O464S5
0.36212096065918475, C924H1764N268O466S6, C923H1756N274O464S5
0.3647810332008815, C919H1748N270O469S6, C923H1756N274O464S5
0.3822263871270385, C923H1760N276O464S4, C923H1756N274O464S5
0.3904307852298559, C915H1752N272O472S5, C923H1756N274O464S5
0.35940142538356296, C919H1756N274O465S6, C923H1756N274O464S5
0.35835804988338604, C929H1748N274O458S6, C923H1756N274O464S5
0.3681022365413204, C923H1760N268O469S5, C923H1756N274O464S5
0.4055206356062916, C916H1752N278O468S4, C923H1756N274O464S5
0.3715858831588515, C918H1768N274O467S5, C923H1756N274O464S5
0.38647008774781555, C922H1756N276O465S4, C923H1756N274O464S5
0.33719721110270934, C918H1744N270O466S8, C923H1756N274O464S5
0.3406554848052219, C936H1817N247O448S18, C923H1756N274O464S5
0.3843077231206243, C916H1740N272O470S6, C923H1756N274O464S5
0.4188537748998958, C917H1748N274O471S4, C923H1756N274O464S5
0.38157236339501394, C924H1760N274O465S4, C923H1756N274O464S5
0.35785560811164957, C923H1760N268O467S6, C923H1756N274O464S5
0.37374575342606503, C918H1760N270O471S5, C923H1756N274O464S5
0.3718574674929846, C922H1756N268O470S5, C923H1756N274O464S5
0.36749158714073704, C922H1768N266O471S5, C923H1756N274O464S5
0.36087735249164987, C918H1752N274O466S6, C923H1756N274O464S5
0.366976995176484, C914H1752N274O469S6, C923H1756N274O464S5
0.35173334981780263, C912H1752N278O465S7, C923H1756N274O464S5
0.35882241601963666, C918H1760N270O469S6, C923H1756N274O464S5
0.39050543707828983, C914H1752N274O471S5, C923H1756N274O464S5
