<1.7475425113202847, C922H1756N276O465S4, C922H1756N276O465S4
1.7634646741808502, C929H1833N277O448S7; C922H1756N276O465S4
1.7497268581570151, C918H1760N278O466S4; C922H1756N276O465S4
1.7599358350721876, C916H1756N272O473S4; C922H1756N276O465S4
1.7278685611848525, C920H1760N274O466S5; C922H1756N276O465S4
1.7401759211851544, C915H1756N274O470S5; C922H1756N276O465S4
1.7459844924911727, C922H1748N272O467S5; C922H1756N276O465S4
1.7416728253645863, C916H1756N272O471S5; C922H1756N276O465S4
1.7746284364731577, C902H1857N271O470S8; C922H1756N276O465S4
1.721308010930839, C915H1756N274O468S6; C922H1756N276O465S4
1.7357920511723621, C919H1748N270O469S6; C922H1756N276O465S4
1.7438670631067328, C923H1760N276O464S4; C922H1756N276O465S4
1.7542896582142842, C915H1752N272O472S5; C922H1756N276O465S4
1.7113927359783827, C919H1756N274O465S6; C922H1756N276O465S4
1.7236909410365058, C923H1760N268O469S5; C922H1756N276O465S4
1.7253059668898272, C923H1756N274O464S5; C922H1756N276O465S4
1.7589861307540506, C916H1752N278O468S4; C922H1756N276O465S4
1.7272474926879124, C918H1768N274O467S5; C922H1756N276O465S4
1.7861254602169088, C912H1748N276O473S4; C922H1756N276O465S4
1.7111804260970593, C918H1744N270O466S8; C922H1756N276O465S4
1.759101202567313, C916H1740N272O470S6; C922H1756N276O465S4
1.774669561809077, C917H1748N274O471S4; C922H1756N276O465S4
1.7431081793353924, C924H1760N274O465S4; C922H1756N276O465S4
1.78868679351584, C916H1744N274O472S4; C922H1756N276O465S4
1.7038737302511713, C923H1760N268O467S6; C922H1756N276O465S4
1.7311719736364508, C918H1760N270O471S5; C922H1756N276O465S4
1.7342656926448818, C922H1756N268O470S5; C922H1756N276O465S4
1.722158888429221, C922H1768N266O471S5; C922H1756N276O465S4
1.7227431119056467, C918H1752N274O466S6; C922H1756N276O465S4
1.7331540532192873, C914H1752N274O469S6; C922H1756N276O465S4
1.710328759363422, C912H1752N278O465S7; C922H1756N276O465S4
1.7118180320190852, C918H1760N270O469S6; C922H1756N276O465S4
1.7528932307887597, C914H1752N274O471S5; C922H1756N276O465S4
