<0.0019066362353342972, C916H1752N278O468S4, C916H1752N278O468S4
0.43451984297596213, C929H1833N277O448S7, C916H1752N278O468S4
0.0855247049483534, C918H1760N278O466S4, C916H1752N278O468S4
0.014192505413389176, C916H1756N272O473S4, C916H1752N278O468S4
0.1439559661886975, C920H1760N274O466S5, C916H1752N278O468S4
0.08733760391816432, C915H1756N274O470S5, C916H1752N278O468S4
0.17512970028131608, C922H1748N272O467S5, C916H1752N278O468S4
0.10370937741758231, C916H1756N272O471S5, C916H1752N278O468S4
0.38498574323563556, C902H1857N271O470S8, C916H1752N278O468S4
0.28852781883531203, C918H1752N274O464S7, C916H1752N278O468S4
0.17531098594065597, C915H1756N274O468S6, C916H1752N278O468S4
0.24186755597026197, C924H1764N268O466S6, C916H1752N278O468S4
0.2524006955184739, C919H1748N270O469S6, C916H1752N278O468S4
0.12704855423075936, C923H1760N276O464S4, C916H1752N278O468S4
0.1281453706994739, C915H1752N272O472S5, C916H1752N278O468S4
0.1922174942332306, C919H1756N274O465S6, C916H1752N278O468S4
0.27467811274646287, C929H1748N274O458S6, C916H1752N278O468S4
0.13468122534388702, C923H1760N268O469S5, C916H1752N278O468S4
0.14565488654262512, C923H1756N274O464S5, C916H1752N278O468S4
0.18481078354403604, C918H1768N274O467S5, C916H1752N278O468S4
0.08426225270475309, C922H1756N276O465S4, C916H1752N278O468S4
0.09060371966171114, C912H1748N276O473S4, C916H1752N278O468S4
0.39207603008865455, C918H1744N270O466S8, C916H1752N278O468S4
0.2770114273123009, C916H1740N272O470S6, C916H1752N278O468S4
0.06524765129794732, C917H1748N274O471S4, C916H1752N278O468S4
0.12385869394612448, C924H1760N274O465S4, C916H1752N278O468S4
0.09597332256830607, C916H1744N274O472S4, C916H1752N278O468S4
0.21894636993066202, C923H1760N268O467S6, C916H1752N278O468S4
0.0976634396674262, C918H1760N270O471S5, C916H1752N278O468S4
0.14939685528337485, C922H1756N268O470S5, C916H1752N278O468S4
0.17225474617216863, C922H1768N266O471S5, C916H1752N278O468S4
0.20881673532483788, C918H1752N274O466S6, C916H1752N278O468S4
0.19424275523861695, C914H1752N274O469S6, C916H1752N278O468S4
0.2473272671276898, C912H1752N278O465S7, C916H1752N278O468S4
0.18653504367194437, C918H1760N270O469S6, C916H1752N278O468S4
0.11218506863312828, C914H1752N274O471S5, C916H1752N278O468S4
0.31662657969451946, C921H1764N274O461S7, C916H1752N278O468S4
