<0.001056372368090146, C923H1756N274O464S5, C923H1756N274O464S5
0.4047172293453959, C929H1833N277O448S7, C923H1756N274O464S5
0.09751481483516251, C920H1768N270O467S6, C923H1756N274O464S5
0.16126525332527913, C918H1760N278O466S4, C923H1756N274O464S5
0.1569620568639565, C916H1756N272O473S4, C923H1756N274O464S5
0.041053483125761146, C920H1760N274O466S5, C923H1756N274O464S5
0.08873040780541909, C915H1756N274O470S5, C923H1756N274O464S5
0.08853569566399999, C922H1748N272O467S5, C923H1756N274O464S5
0.09194352841868549, C916H1756N272O471S5, C923H1756N274O464S5
0.18714881067706404, C918H1752N274O464S7, C923H1756N274O464S5
0.06791122376538768, C915H1756N274O468S6, C923H1756N274O464S5
0.09635122262595958, C924H1764N268O466S6, C923H1756N274O464S5
0.1648459011718351, C919H1748N270O469S6, C923H1756N274O464S5
0.13326607329560097, C923H1760N276O464S4, C923H1756N274O464S5
0.13470670975639903, C915H1752N272O472S5, C923H1756N274O464S5
0.0792002799787824, C919H1756N274O465S6, C923H1756N274O464S5
0.16590730458567923, C929H1748N274O458S6, C923H1756N274O464S5
0.014272782044643575, C923H1760N268O469S5, C923H1756N274O464S5
0.14550699710926426, C916H1752N278O468S4, C923H1756N274O464S5
0.10801037840877394, C918H1768N274O467S5, C923H1756N274O464S5
0.10938715010870839, C922H1756N276O465S4, C923H1756N274O464S5
0.318046081717782, C918H1744N270O466S8, C923H1756N274O464S5
0.34687225912961145, C936H1817N247O448S18, C923H1756N274O464S5
0.2069837582902993, C916H1740N272O470S6, C923H1756N274O464S5
0.1947323926795759, C917H1748N274O471S4, C923H1756N274O464S5
0.117377352395952, C924H1760N274O465S4, C923H1756N274O464S5
0.1038269913750327, C923H1760N268O467S6, C923H1756N274O464S5
0.052403648819439784, C918H1760N270O471S5, C923H1756N274O464S5
0.05391590490779381, C922H1756N268O470S5, C923H1756N274O464S5
0.039698614078762975, C922H1768N266O471S5, C923H1756N274O464S5
0.10589497387497755, C918H1752N274O466S6, C923H1756N274O464S5
0.09751973935492984, C914H1752N274O469S6, C923H1756N274O464S5
0.14581694454897765, C912H1752N278O465S7, C923H1756N274O464S5
0.07416244977755904, C918H1760N270O469S6, C923H1756N274O464S5
0.13150902241052806, C914H1752N274O471S5, C923H1756N274O464S5
