<0.004086602951669818, C923H1756N274O464S5, C923H1756N274O464S5
0.402263475480154, C929H1833N277O448S7, C923H1756N274O464S5
0.09751481483516712, C920H1768N270O467S6, C923H1756N274O464S5
0.15983872360534512, C918H1760N278O466S4, C923H1756N274O464S5
0.15696205954010792, C916H1756N272O473S4, C923H1756N274O464S5
0.0407033447917538, C920H1760N274O466S5, C923H1756N274O464S5
0.08873040717684808, C915H1756N274O470S5, C923H1756N274O464S5
0.08853558510086311, C922H1748N272O467S5, C923H1756N274O464S5
0.09194351239707205, C916H1756N272O471S5, C923H1756N274O464S5
0.18525660552766332, C918H1752N274O464S7, C923H1756N274O464S5
0.06741620311741284, C915H1756N274O468S6, C923H1756N274O464S5
0.09636786092252322, C924H1764N268O466S6, C923H1756N274O464S5
0.16382899484607574, C919H1748N270O469S6, C923H1756N274O464S5
0.13220405805434418, C923H1760N276O464S4, C923H1756N274O464S5
0.13470672474520654, C915H1752N272O472S5, C923H1756N274O464S5
0.07821234070542128, C919H1756N274O465S6, C923H1756N274O464S5
0.164008555785969, C929H1748N274O458S6, C923H1756N274O464S5
0.014242097696507115, C923H1760N268O469S5, C923H1756N274O464S5
0.14550710021791086, C916H1752N278O468S4, C923H1756N274O464S5
0.10743938263910698, C918H1768N274O467S5, C923H1756N274O464S5
0.10825668976558261, C922H1756N276O465S4, C923H1756N274O464S5
0.3154991318670278, C918H1744N270O466S8, C923H1756N274O464S5
0.34642110988271074, C936H1817N247O448S18, C923H1756N274O464S5
0.20630531542020686, C916H1740N272O470S6, C923H1756N274O464S5
0.1947323994509216, C917H1748N274O471S4, C923H1756N274O464S5
0.11639794628801328, C924H1760N274O465S4, C923H1756N274O464S5
0.1024315591304434, C923H1760N268O467S6, C923H1756N274O464S5
0.052403648055379684, C918H1760N270O471S5, C923H1756N274O464S5
0.05391385198984284, C922H1756N268O470S5, C923H1756N274O464S5
0.039571177536061576, C922H1768N266O471S5, C923H1756N274O464S5
0.1050106681730752, C918H1752N274O466S6, C923H1756N274O464S5
0.09715229757319435, C914H1752N274O469S6, C923H1756N274O464S5
0.14442676755497977, C912H1752N278O465S7, C923H1756N274O464S5
0.07328645749602967, C918H1760N270O469S6, C923H1756N274O464S5
0.13150900711074445, C914H1752N274O471S5, C923H1756N274O464S5
