<0.21835145662692962, C916H1752N278O468S4, C916H1752N278O468S4
0.48081043338352497, C929H1833N277O448S7; C916H1752N278O468S4
0.2715435511049012, C918H1760N278O466S4; C916H1752N278O468S4
0.2165885233999876, C916H1756N272O473S4; C916H1752N278O468S4
0.25270390451398794, C920H1760N274O466S5; C916H1752N278O468S4
0.21350418223780188, C915H1756N274O470S5; C916H1752N278O468S4
0.26810713912589856, C922H1748N272O467S5; C916H1752N278O468S4
0.22262259473472432, C916H1756N272O471S5; C916H1752N278O468S4
0.43986755418236084, C902H1857N271O470S8; C916H1752N278O468S4
0.3330948965530166, C918H1752N274O464S7; C916H1752N278O468S4
0.2513619361708476, C915H1756N274O468S6; C916H1752N278O468S4
0.31721842419106344, C919H1748N270O469S6; C916H1752N278O468S4
0.27804999254174706, C923H1760N276O464S4; C916H1752N278O468S4
0.24916594743011955, C915H1752N272O472S5; C916H1752N278O468S4
0.2594207081371362, C919H1756N274O465S6; C916H1752N278O468S4
0.3234044342519182, C929H1748N274O458S6; C916H1752N278O468S4
0.23423876260605095, C923H1760N268O469S5; C916H1752N278O468S4
0.2453609642513969, C923H1756N274O464S5; C916H1752N278O468S4
0.24778476416289677, C922H1756N276O465S4; C916H1752N278O468S4
0.2943994634931861, C918H1768N274O467S5; C916H1752N278O468S4
0.26798027715978784, C912H1748N276O473S4; C916H1752N278O468S4
0.425313267207455, C918H1744N270O466S8; C916H1752N278O468S4
0.3473345615192973, C916H1740N272O470S6; C916H1752N278O468S4
0.2526843117160077, C917H1748N274O471S4; C916H1752N278O468S4
0.2699811177544293, C924H1760N274O465S4; C916H1752N278O468S4
0.2845162892093337, C916H1744N274O472S4; C916H1752N278O468S4
0.2161762067084423, C918H1760N270O471S5; C916H1752N278O468S4
0.24241366408456105, C922H1756N268O470S5; C916H1752N278O468S4
0.2688483179170599, C922H1768N266O471S5; C916H1752N278O468S4
0.27705661072436066, C918H1752N274O466S6; C916H1752N278O468S4
0.2722226704402315, C914H1752N274O469S6; C916H1752N278O468S4
0.30087055964251763, C912H1752N278O465S7; C916H1752N278O468S4
0.25474037257491244, C918H1760N270O469S6; C916H1752N278O468S4
0.23976970477924364, C914H1752N274O471S5; C916H1752N278O468S4
