<1.29028017541676, C923H1756N274O464S5, C923H1756N274O464S5
1.3547661416004086, C929H1833N277O448S7; C923H1756N274O464S5
1.2796019518405257, C920H1768N270O467S6; C923H1756N274O464S5
1.331418717273351, C918H1760N278O466S4; C923H1756N274O464S5
1.328936090525928, C916H1756N272O473S4; C923H1756N274O464S5
1.297268686098802, C920H1760N274O466S5; C923H1756N274O464S5
1.3025325907798306, C915H1756N274O470S5; C923H1756N274O464S5
1.3142199532502894, C922H1748N272O467S5; C923H1756N274O464S5
1.3050521712198833, C916H1756N272O471S5; C923H1756N274O464S5
1.271913604963808, C918H1752N274O464S7; C923H1756N274O464S5
1.2858857509872528, C915H1756N274O468S6; C923H1756N274O464S5
1.266870204799847, C924H1764N268O466S6; C923H1756N274O464S5
1.3092986679774816, C919H1748N270O469S6; C923H1756N274O464S5
1.3233825721284627, C923H1760N276O464S4; C923H1756N274O464S5
1.3224122791414799, C915H1752N272O472S5; C923H1756N274O464S5
1.2746938447209188, C919H1756N274O465S6; C923H1756N274O464S5
1.2722963818693638, C929H1748N274O458S6; C923H1756N274O464S5
1.2858499279069877, C923H1760N268O469S5; C923H1756N274O464S5
1.3279853398419648, C916H1752N278O468S4; C923H1756N274O464S5
1.309522492296116, C918H1768N274O467S5; C923H1756N274O464S5
1.3197558759851344, C922H1756N276O465S4; C923H1756N274O464S5
1.2881653496725334, C918H1744N270O466S8; C923H1756N274O464S5
1.1219106477298075, C936H1817N247O448S18; C923H1756N274O464S5
1.33931103181771, C916H1740N272O470S6; C923H1756N274O464S5
1.3485771114595049, C917H1748N274O471S4; C923H1756N274O464S5
1.3198863323138315, C924H1760N274O465S4; C923H1756N274O464S5
1.2662966290330508, C923H1760N268O467S6; C923H1756N274O464S5
1.2920513872892105, C918H1760N270O471S5; C923H1756N274O464S5
1.298501889008006, C922H1756N268O470S5; C923H1756N274O464S5
1.2950738050403103, C922H1768N266O471S5; C923H1756N274O464S5
1.289894704687308, C918H1752N274O466S6; C923H1756N274O464S5
1.3017119748550334, C914H1752N274O469S6; C923H1756N274O464S5
1.2782648634413794, C912H1752N278O465S7; C923H1756N274O464S5
1.275191873780138, C918H1760N270O469S6; C923H1756N274O464S5
1.3200872118227238, C914H1752N274O471S5; C923H1756N274O464S5
