<1.0796170213837843, C916H1752N278O468S4, C916H1752N278O468S4
1.1288338323522968, C929H1833N277O448S7; C916H1752N278O468S4
1.0974215448989364, C918H1760N278O466S4; C916H1752N278O468S4
1.0788440525524432, C916H1756N272O473S4; C916H1752N278O468S4
1.0659479355308261, C920H1760N274O466S5; C916H1752N278O468S4
1.06193442609735, C915H1756N274O470S5; C916H1752N278O468S4
1.075336084195075, C922H1748N272O467S5; C916H1752N278O468S4
1.0646732214581698, C916H1756N272O471S5; C916H1752N278O468S4
1.1325532912279583, C902H1857N271O470S8; C916H1752N278O468S4
1.0540500534956774, C918H1752N274O464S7; C916H1752N278O468S4
1.0516669938424559, C915H1756N274O468S6; C916H1752N278O468S4
1.0777571331867115, C919H1748N270O469S6; C916H1752N278O468S4
1.0951616968343376, C923H1760N276O464S4; C916H1752N278O468S4
1.0808551184107575, C915H1752N272O472S5; C916H1752N278O468S4
1.0467228193447538, C919H1756N274O465S6; C916H1752N278O468S4
1.0557811349574058, C929H1748N274O458S6; C916H1752N278O468S4
1.051471531855642, C923H1760N268O469S5; C916H1752N278O468S4
1.0578973888094798, C923H1756N274O464S5; C916H1752N278O468S4
1.085096897845465, C922H1756N276O465S4; C916H1752N278O468S4
1.0861501648566312, C918H1768N274O467S5; C916H1752N278O468S4
1.1090108776595209, C912H1748N276O473S4; C916H1752N278O468S4
1.0757893835659713, C918H1744N270O466S8; C916H1752N278O468S4
1.1015972418288273, C916H1740N272O470S6; C916H1752N278O468S4
1.0993379553622686, C917H1748N274O471S4; C916H1752N278O468S4
1.0906552416206194, C924H1760N274O465S4; C916H1752N278O468S4
1.1171091071894304, C916H1744N274O472S4; C916H1752N278O468S4
1.0538123844430096, C918H1760N270O471S5; C916H1752N278O468S4
1.0606280550778227, C922H1756N268O470S5; C916H1752N278O468S4
1.0672580307470771, C922H1768N266O471S5; C916H1752N278O468S4
1.0591008104737876, C918H1752N274O466S6; C916H1752N278O468S4
1.065194293283227, C914H1752N274O469S6; C916H1752N278O468S4
1.0540137121336546, C912H1752N278O465S7; C916H1752N278O468S4
1.0457367503205244, C918H1760N270O469S6; C916H1752N278O468S4
1.078245283683158, C914H1752N274O471S5; C916H1752N278O468S4
