<0.6514982250763071, C916H1752N278O468S4, C916H1752N278O468S4
0.7638573981771907, C929H1833N277O448S7; C916H1752N278O468S4
0.6820158907922579, C918H1760N278O466S4; C916H1752N278O468S4
0.6508718055878236, C916H1756N272O473S4; C916H1752N278O468S4
0.6487428990252327, C920H1760N274O466S5; C916H1752N278O468S4
0.6348342841283825, C915H1756N274O470S5; C916H1752N278O468S4
0.6612853214841197, C922H1748N272O467S5; C916H1752N278O468S4
0.6397432424340141, C916H1756N272O471S5; C916H1752N278O468S4
0.7557565805016707, C902H1857N271O470S8; C916H1752N278O468S4
0.6552308560370655, C918H1752N274O464S7; C916H1752N278O468S4
0.6343624822585324, C915H1756N274O468S6; C916H1752N278O468S4
0.672196556136313, C919H1748N270O469S6; C916H1752N278O468S4
0.6812386504530759, C923H1760N276O464S4; C916H1752N278O468S4
0.661165180090133, C915H1752N272O472S5; C916H1752N278O468S4
0.6288018545958032, C919H1756N274O465S6; C916H1752N278O468S4
0.653529096497052, C929H1748N274O458S6; C916H1752N278O468S4
0.6305446656607717, C923H1760N268O469S5; C916H1752N278O468S4
0.6392397574350372, C923H1756N274O464S5; C916H1752N278O468S4
0.6644269229692014, C922H1756N276O465S4; C916H1752N278O468S4
0.6777625919389404, C918H1768N274O467S5; C916H1752N278O468S4
0.6912695243174286, C912H1748N276O473S4; C916H1752N278O468S4
0.7013622234784797, C918H1744N270O466S8; C916H1752N278O468S4
0.70369488073995, C916H1740N272O470S6; C916H1752N278O468S4
0.6786185044983841, C917H1748N274O471S4; C916H1752N278O468S4
0.674801079890091, C924H1760N274O465S4; C916H1752N278O468S4
0.7024776116314314, C916H1744N274O472S4; C916H1752N278O468S4
0.6281257626046924, C918H1760N270O471S5; C916H1752N278O468S4
0.6415945897472001, C922H1756N268O470S5; C916H1752N278O468S4
0.6544016084254469, C922H1768N266O471S5; C916H1752N278O468S4
0.6453325198074625, C918H1752N274O466S6; C916H1752N278O468S4
0.6527593222044926, C914H1752N274O469S6; C916H1752N278O468S4
0.6468121283801113, C912H1752N278O465S7; C916H1752N278O468S4
0.6274286740335846, C918H1760N270O469S6; C916H1752N278O468S4
0.6566500530574518, C914H1752N274O471S5; C916H1752N278O468S4
