<1.7244479982740928, C916H1752N278O468S4, C916H1752N278O468S4
1.7313417535126043, C929H1833N277O448S7; C916H1752N278O468S4
1.729880405013532, C918H1760N278O466S4; C916H1752N278O468S4
1.7239225935233287, C916H1756N272O473S4; C916H1752N278O468S4
1.7026516716021083, C920H1760N274O466S5; C916H1752N278O468S4
1.7062336428417064, C915H1756N274O470S5; C916H1752N278O468S4
1.712290575505367, C922H1748N272O467S5; C916H1752N278O468S4
1.707711251847699, C916H1756N272O471S5; C916H1752N278O468S4
1.7386020161224964, C902H1857N271O470S8; C916H1752N278O468S4
1.6766597008896582, C918H1752N274O464S7; C916H1752N278O468S4
1.6886748836771284, C915H1756N274O468S6; C916H1752N278O468S4
1.6763450141729104, C924H1764N268O466S6; C916H1752N278O468S4
1.7029582889739228, C919H1748N270O469S6; C916H1752N278O468S4
1.7259688746828405, C923H1760N276O464S4; C916H1752N278O468S4
1.7196282787998103, C915H1752N272O472S5; C916H1752N278O468S4
1.6803958373096572, C919H1756N274O465S6; C916H1752N278O468S4
1.6805279530854653, C929H1748N274O458S6; C916H1752N278O468S4
1.6925546444928778, C923H1760N268O469S5; C916H1752N278O468S4
1.6964887484730535, C923H1756N274O464S5; C916H1752N278O468S4
1.7127107775856463, C918H1768N274O467S5; C916H1752N278O468S4
1.7224809198448428, C922H1756N276O465S4; C916H1752N278O468S4
1.747520896826029, C912H1748N276O473S4; C916H1752N278O468S4
1.682889120561459, C918H1744N270O466S8; C916H1752N278O468S4
1.7244939954165028, C916H1740N272O470S6; C916H1752N278O468S4
1.7382843998560469, C917H1748N274O471S4; C916H1752N278O468S4
1.7232264035836424, C924H1760N274O465S4; C916H1752N278O468S4
1.7512654675889368, C916H1744N274O472S4; C916H1752N278O468S4
1.674663195234319, C923H1760N268O467S6; C916H1752N278O468S4
1.6985410264383307, C918H1760N270O471S5; C916H1752N278O468S4
1.7010996314132922, C922H1756N268O470S5; C916H1752N278O468S4
1.6997425755426616, C922H1768N266O471S5; C916H1752N278O468S4
1.6906097475673514, C918H1752N274O466S6; C916H1752N278O468S4
1.6998194764942067, C914H1752N274O469S6; C916H1752N278O468S4
1.6800640495617527, C912H1752N278O465S7; C916H1752N278O468S4
1.6803662719346248, C918H1760N270O469S6; C916H1752N278O468S4
1.7182507352547811, C914H1752N274O471S5; C916H1752N278O468S4
1.6718068291921633, C921H1764N274O461S7; C916H1752N278O468S4
