<0.0018279521353614372, C923H1756N274O464S5, C923H1756N274O464S5
0.4052577640949082, C929H1833N277O448S7, C923H1756N274O464S5
0.09751481483516455, C920H1768N270O467S6, C923H1756N274O464S5
0.1615177566865489, C918H1760N278O466S4, C923H1756N274O464S5
0.156962056200695, C916H1756N272O473S4, C923H1756N274O464S5
0.04111479376122649, C920H1760N274O466S5, C923H1756N274O464S5
0.08873040798001815, C915H1756N274O470S5, C923H1756N274O464S5
0.08853572948319183, C922H1748N272O467S5, C923H1756N274O464S5
0.09194353286912918, C916H1756N272O471S5, C923H1756N274O464S5
0.18757718358989484, C918H1752N274O464S7, C923H1756N274O464S5
0.06802706001529182, C915H1756N274O468S6, C923H1756N274O464S5
0.09635121711120971, C924H1764N268O466S6, C923H1756N274O464S5
0.16507681876876443, C919H1748N270O469S6, C923H1756N274O464S5
0.13344830131013416, C923H1760N276O464S4, C923H1756N274O464S5
0.13470670559283707, C915H1752N272O472S5, C923H1756N274O464S5
0.07942622858325755, C919H1756N274O465S6, C923H1756N274O464S5
0.16633933737676218, C929H1748N274O458S6, C923H1756N274O464S5
0.01428308608543658, C923H1760N268O469S5, C923H1756N274O464S5
0.14550699402367526, C916H1752N278O468S4, C923H1756N274O464S5
0.10810710913992035, C918H1768N274O467S5, C923H1756N274O464S5
0.10957674928510376, C922H1756N276O465S4, C923H1756N274O464S5
0.3186094276742872, C918H1744N270O466S8, C923H1756N274O464S5
0.3469725826168031, C936H1817N247O448S18, C923H1756N274O464S5
0.20714008557995137, C916H1740N272O470S6, C923H1756N274O464S5
0.19473239079864263, C917H1748N274O471S4, C923H1756N274O464S5
0.11754706419192319, C924H1760N274O465S4, C923H1756N274O464S5
0.10414771469608182, C923H1760N268O467S6, C923H1756N274O464S5
0.052403652665925546, C918H1760N270O471S5, C923H1756N274O464S5
0.05391645020344922, C922H1756N268O470S5, C923H1756N274O464S5
0.03972128060231087, C922H1768N266O471S5, C923H1756N274O464S5
0.10609900160375475, C918H1752N274O466S6, C923H1756N274O464S5
0.09760382187443095, C914H1752N274O469S6, C923H1756N274O464S5
0.14613251334345306, C912H1752N278O465S7, C923H1756N274O464S5
0.07436395453310046, C918H1760N270O469S6, C923H1756N274O464S5
0.13150902666046388, C914H1752N274O471S5, C923H1756N274O464S5
