<0.43284422923547483, C923H1756N274O464S5, C923H1756N274O464S5
0.6055185858519003, C929H1833N277O448S7; C923H1756N274O464S5
0.4444075443436917, C920H1768N270O467S6; C923H1756N274O464S5
0.5027994974733014, C918H1760N278O466S4; C923H1756N274O464S5
0.4802682717017786, C916H1756N272O473S4; C923H1756N274O464S5
0.44753328250638336, C920H1760N274O466S5; C923H1756N274O464S5
0.4464174698965038, C915H1756N274O470S5; C923H1756N274O464S5
0.46945421607153154, C922H1748N272O467S5; C923H1756N274O464S5
0.45133327862887945, C916H1756N272O471S5; C923H1756N274O464S5
0.44677990117816496, C918H1752N274O464S7; C923H1756N274O464S5
0.4302627685604743, C915H1756N274O468S6; C923H1756N274O464S5
0.42494073040992314, C924H1764N268O466S6; C923H1756N274O464S5
0.4796695642537889, C919H1748N270O469S6; C923H1756N274O464S5
0.4940269217965328, C923H1760N276O464S4; C923H1756N274O464S5
0.4810943144863823, C915H1752N272O472S5; C923H1756N274O464S5
0.4177403179974643, C919H1756N274O465S6; C923H1756N274O464S5
0.4395465372893565, C929H1748N274O458S6; C923H1756N274O464S5
0.4242683658597138, C923H1760N268O469S5; C923H1756N274O464S5
0.47850981371973417, C916H1752N278O468S4; C923H1756N274O464S5
0.4818536887990302, C918H1768N274O467S5; C923H1756N274O464S5
0.4781534170500367, C922H1756N276O465S4; C923H1756N274O464S5
0.5120622916558698, C918H1744N270O466S8; C923H1756N274O464S5
0.396537032436463, C936H1817N247O448S18; C923H1756N274O464S5
0.5253653113600393, C916H1740N272O470S6; C923H1756N274O464S5
0.5126050969306823, C917H1748N274O471S4; C923H1756N274O464S5
0.4861368553574354, C924H1760N274O465S4; C923H1756N274O464S5
0.41433562760176934, C923H1760N268O467S6; C923H1756N274O464S5
0.4311045494438334, C918H1760N270O471S5; C923H1756N274O464S5
0.44318267120523724, C922H1756N268O470S5; C923H1756N274O464S5
0.45063227343260576, C922H1768N266O471S5; C923H1756N274O464S5
0.44217118757977136, C918H1752N274O466S6; C923H1756N274O464S5
0.4570292020828275, C914H1752N274O469S6; C923H1756N274O464S5
0.43995852887926756, C912H1752N278O465S7; C923H1756N274O464S5
0.4173830339539362, C918H1760N270O469S6; C923H1756N274O464S5
0.4763212082584315, C914H1752N274O471S5; C923H1756N274O464S5
