<1.740111118768026, C916H1752N278O468S4, C916H1752N278O468S4
1.7447945330733785, C929H1833N277O448S7; C916H1752N278O468S4
1.7456803842888022, C918H1760N278O466S4; C916H1752N278O468S4
1.7395459972455065, C916H1756N272O473S4; C916H1752N278O468S4
1.7184198592123179, C920H1760N274O466S5; C916H1752N278O468S4
1.7219194247745238, C915H1756N274O470S5; C916H1752N278O468S4
1.727764523075005, C922H1748N272O467S5; C916H1752N278O468S4
1.7233522920430482, C916H1756N272O471S5; C916H1752N278O468S4
1.7526849928701551, C902H1857N271O470S8; C916H1752N278O468S4
1.691653318115704, C918H1752N274O464S7; C916H1752N278O468S4
1.704301552408381, C915H1756N274O468S6; C916H1752N278O468S4
1.718204071113475, C919H1748N270O469S6; C916H1752N278O468S4
1.7417730852485882, C923H1760N276O464S4; C916H1752N278O468S4
1.7351249579043106, C915H1752N272O472S5; C916H1752N278O468S4
1.6960523468884257, C919H1756N274O465S6; C916H1752N278O468S4
1.6956352756636133, C929H1748N274O458S6; C916H1752N278O468S4
1.7082948753210447, C923H1760N268O469S5; C916H1752N278O468S4
1.7122398089284654, C923H1756N274O464S5; C916H1752N278O468S4
1.7382541245329657, C922H1756N276O465S4; C916H1752N278O468S4
1.728527524784686, C918H1768N274O467S5; C916H1752N278O468S4
1.7626655905788713, C912H1748N276O473S4; C916H1752N278O468S4
1.6972177409252949, C918H1744N270O466S8; C916H1752N278O468S4
1.7394353525048452, C916H1740N272O470S6; C916H1752N278O468S4
1.7537222457865027, C917H1748N274O471S4; C916H1752N278O468S4
1.7390213622805661, C924H1760N274O465S4; C916H1752N278O468S4
1.7665579103597968, C916H1744N274O472S4; C916H1752N278O468S4
1.7142759376651213, C918H1760N270O471S5; C916H1752N278O468S4
1.716712991712049, C922H1756N268O470S5; C916H1752N278O468S4
1.7155224441682932, C922H1768N266O471S5; C916H1752N278O468S4
1.7061398668087742, C918H1752N274O466S6; C916H1752N278O468S4
1.715290497693301, C914H1752N274O469S6; C916H1752N278O468S4
1.695391237400238, C912H1752N278O465S7; C916H1752N278O468S4
1.6960438089090106, C918H1760N270O469S6; C916H1752N278O468S4
1.7337921548821662, C914H1752N274O471S5; C916H1752N278O468S4
