<0.0013556918420850564, C916H1752N278O468S4, C916H1752N278O468S4
0.4357585705301242, C929H1833N277O448S7, C916H1752N278O468S4
0.08552470494835199, C918H1760N278O466S4, C916H1752N278O468S4
0.014208916858945049, C916H1756N272O473S4, C916H1752N278O468S4
0.14395596618869544, C920H1760N274O466S5, C916H1752N278O468S4
0.08790118626091716, C915H1756N274O470S5, C916H1752N278O468S4
0.1759398017914849, C922H1748N272O467S5, C916H1752N278O468S4
0.1043230544459584, C916H1756N272O471S5, C916H1752N278O468S4
0.38601914349221894, C902H1857N271O470S8, C916H1752N278O468S4
0.28968558297025276, C918H1752N274O464S7, C916H1752N278O468S4
0.17622827675594777, C915H1756N274O468S6, C916H1752N278O468S4
0.2534037394445199, C919H1748N270O469S6, C916H1752N278O468S4
0.12704855423075856, C923H1760N276O464S4, C916H1752N278O468S4
0.1287222178079062, C915H1752N272O472S5, C916H1752N278O468S4
0.19320241591381246, C919H1756N274O465S6, C916H1752N278O468S4
0.27584026904453474, C929H1748N274O458S6, C916H1752N278O468S4
0.1347169601842914, C923H1760N268O469S5, C916H1752N278O468S4
0.145654885270615, C923H1756N274O464S5, C916H1752N278O468S4
0.08426225270475148, C922H1756N276O465S4, C916H1752N278O468S4
0.1848107835440343, C918H1768N274O467S5, C916H1752N278O468S4
0.09060372004407825, C912H1748N276O473S4, C916H1752N278O468S4
0.3933279125046683, C918H1744N270O466S8, C916H1752N278O468S4
0.277961046226293, C916H1740N272O470S6, C916H1752N278O468S4
0.06534814869775703, C917H1748N274O471S4, C916H1752N278O468S4
0.12385869394612294, C924H1760N274O465S4, C916H1752N278O468S4
0.09600111701036064, C916H1744N274O472S4, C916H1752N278O468S4
0.09793612537340358, C918H1760N270O471S5, C916H1752N278O468S4
0.1502052007924642, C922H1756N268O470S5, C916H1752N278O468S4
0.17225474617216663, C922H1768N266O471S5, C916H1752N278O468S4
0.20980088121550158, C918H1752N274O466S6, C916H1752N278O468S4
0.19513496856277124, C914H1752N274O469S6, C916H1752N278O468S4
0.24838247692832385, C912H1752N278O465S7, C916H1752N278O468S4
0.1875071290201602, C918H1760N270O469S6, C916H1752N278O468S4
0.11271785250131876, C914H1752N274O471S5, C916H1752N278O468S4
