<0.03801103258860867, C916H1752N278O468S4, C916H1752N278O468S4
0.40159601196456146, C929H1833N277O448S7, C916H1752N278O468S4
0.086967972608148, C918H1760N278O466S4, C916H1752N278O468S4
0.04058203272206271, C916H1756N272O473S4, C916H1752N278O468S4
0.14658666335254014, C920H1760N274O466S5, C916H1752N278O468S4
0.09815165321791171, C915H1756N274O470S5, C916H1752N278O468S4
0.15934506544994484, C922H1748N272O467S5, C916H1752N278O468S4
0.10655725630996853, C916H1756N272O471S5, C916H1752N278O468S4
0.35892032535348095, C902H1857N271O470S8, C916H1752N278O468S4
0.26210628814219994, C918H1752N274O464S7, C916H1752N278O468S4
0.16754368443223863, C915H1756N274O468S6, C916H1752N278O468S4
0.24322532303244807, C924H1764N268O466S6, C916H1752N278O468S4
0.22798781146405261, C919H1748N270O469S6, C916H1752N278O468S4
0.12705181190081097, C923H1760N276O464S4, C916H1752N278O468S4
0.11909393293281706, C915H1752N272O472S5, C916H1752N278O468S4
0.1913984498801503, C919H1756N274O465S6, C916H1752N278O468S4
0.2552519936232097, C929H1748N274O458S6, C916H1752N278O468S4
0.1502157644553632, C923H1760N268O469S5, C916H1752N278O468S4
0.1542003223764236, C923H1756N274O464S5, C916H1752N278O468S4
0.18481080145390558, C918H1768N274O467S5, C916H1752N278O468S4
0.08943207932455426, C922H1756N276O465S4, C916H1752N278O468S4
0.09167658530599086, C912H1748N276O473S4, C916H1752N278O468S4
0.35868840491962833, C918H1744N270O466S8, C916H1752N278O468S4
0.2541935212782076, C916H1740N272O470S6, C916H1752N278O468S4
0.06800657986332886, C917H1748N274O471S4, C916H1752N278O468S4
0.12402763016571192, C924H1760N274O465S4, C916H1752N278O468S4
0.0958643784801235, C916H1744N274O472S4, C916H1752N278O468S4
0.21837570644188042, C923H1760N268O467S6, C916H1752N278O468S4
0.11693328029375313, C918H1760N270O471S5, C916H1752N278O468S4
0.14409058182833362, C922H1756N268O470S5, C916H1752N278O468S4
0.17253375265465457, C922H1768N266O471S5, C916H1752N278O468S4
0.19146294588026133, C918H1752N274O466S6, C916H1752N278O468S4
0.1761953492442378, C914H1752N274O469S6, C916H1752N278O468S4
0.22480790541058568, C912H1752N278O465S7, C916H1752N278O468S4
0.18532514158447183, C918H1760N270O469S6, C916H1752N278O468S4
0.10659692514824527, C914H1752N274O471S5, C916H1752N278O468S4
0.3166306134308109, C921H1764N274O461S7, C916H1752N278O468S4
