<0.004225678318444548, C916H1752N278O468S4, C916H1752N278O468S4
0.4323301155914829, C929H1833N277O448S7, C916H1752N278O468S4
0.08552470494835587, C918H1760N278O466S4, C916H1752N278O468S4
0.014178079823169813, C916H1756N272O473S4, C916H1752N278O468S4
0.1439559661886991, C920H1760N274O466S5, C916H1752N278O468S4
0.08650459483076763, C915H1756N274O470S5, C916H1752N278O468S4
0.17381503127511286, C922H1748N272O467S5, C916H1752N278O468S4
0.10274959499936703, C916H1756N272O471S5, C916H1752N278O468S4
0.38322595200879117, C902H1857N271O470S8, C916H1752N278O468S4
0.2865386799373243, C918H1752N274O464S7, C916H1752N278O468S4
0.1738168459062514, C915H1756N274O468S6, C916H1752N278O468S4
0.24186755597026977, C924H1764N268O466S6, C916H1752N278O468S4
0.25072940599822624, C919H1748N270O469S6, C916H1752N278O468S4
0.127048554230763, C923H1760N276O464S4, C916H1752N278O468S4
0.12724109525461466, C915H1752N272O472S5, C916H1752N278O468S4
0.1906510133138696, C919H1756N274O465S6, C916H1752N278O468S4
0.2726844217965314, C929H1748N274O458S6, C916H1752N278O468S4
0.1352001468135576, C923H1760N268O469S5, C916H1752N278O468S4
0.14565490900308453, C923H1756N274O464S5, C916H1752N278O468S4
0.184810783544039, C918H1768N274O467S5, C916H1752N278O468S4
0.08426225270475624, C922H1756N276O465S4, C916H1752N278O468S4
0.0906037191518917, C912H1748N276O473S4, C916H1752N278O468S4
0.3898643525950803, C918H1744N270O466S8, C916H1752N278O468S4
0.2754556478023373, C916H1740N272O470S6, C916H1752N278O468S4
0.06509807833587938, C917H1748N274O471S4, C916H1752N278O468S4
0.12385869394612711, C924H1760N274O465S4, C916H1752N278O468S4
0.09593156872726576, C916H1744N274O472S4, C916H1752N278O468S4
0.21734697960115892, C923H1760N268O467S6, C916H1752N278O468S4
0.09823625630537215, C918H1760N270O471S5, C916H1752N278O468S4
0.14808473919938092, C922H1756N268O470S5, C916H1752N278O468S4
0.17225474617217146, C922H1768N266O471S5, C916H1752N278O468S4
0.2071903274847472, C918H1752N274O466S6, C916H1752N278O468S4
0.19279031664482393, C914H1752N274O469S6, C916H1752N278O468S4
0.2455207967458447, C912H1752N278O465S7, C916H1752N278O468S4
0.184980772402983, C918H1760N270O469S6, C916H1752N278O468S4
0.11135174036109545, C914H1752N274O471S5, C916H1752N278O468S4
0.3166265796945228, C921H1764N274O461S7, C916H1752N278O468S4
