<0.019242229584247466, C923H1756N274O464S5, C923H1756N274O464S5
0.3916714405448769, C929H1833N277O448S7, C923H1756N274O464S5
0.09753912738535583, C920H1768N270O467S6, C923H1756N274O464S5
0.15268563549345227, C918H1760N278O466S4, C923H1756N274O464S5
0.15702801654725954, C916H1756N272O473S4, C923H1756N274O464S5
0.044571076319079916, C920H1760N274O466S5, C923H1756N274O464S5
0.08880339563845409, C915H1756N274O470S5, C923H1756N274O464S5
0.08853521888178312, C922H1748N272O467S5, C923H1756N274O464S5
0.09194549233096859, C916H1756N272O471S5, C923H1756N274O464S5
0.17724327376070906, C918H1752N274O464S7, C923H1756N274O464S5
0.06574356280228602, C915H1756N274O468S6, C923H1756N274O464S5
0.10203524520192794, C924H1764N268O466S6, C923H1756N274O464S5
0.15966041508750894, C919H1748N270O469S6, C923H1756N274O464S5
0.12677146125953256, C923H1760N276O464S4, C923H1756N274O464S5
0.13470677064087844, C915H1752N272O472S5, C923H1756N274O464S5
0.07640680466001137, C919H1756N274O465S6, C923H1756N274O464S5
0.15619893886237582, C929H1748N274O458S6, C923H1756N274O464S5
0.02324957052786564, C923H1760N268O469S5, C923H1756N274O464S5
0.14685414171763764, C916H1752N278O468S4, C923H1756N274O464S5
0.1044901904033802, C918H1768N274O467S5, C923H1756N274O464S5
0.10605821339215007, C922H1756N276O465S4, C923H1756N274O464S5
0.30440476807842515, C918H1744N270O466S8, C923H1756N274O464S5
0.3444105853514876, C936H1817N247O448S18, C923H1756N274O464S5
0.20355188262817947, C916H1740N272O470S6, C923H1756N274O464S5
0.19473242067560126, C917H1748N274O471S4, C923H1756N274O464S5
0.11166144983051189, C924H1760N274O465S4, C923H1756N274O464S5
0.09983947089747235, C923H1760N268O467S6, C923H1756N274O464S5
0.055982283080271825, C918H1760N270O471S5, C923H1756N274O464S5
0.0539203690346631, C922H1756N268O470S5, C923H1756N274O464S5
0.0410544365088325, C922H1768N266O471S5, C923H1756N274O464S5
0.10142481857126141, C918H1752N274O466S6, C923H1756N274O464S5
0.09567396965936296, C914H1752N274O469S6, C923H1756N274O464S5
0.13862252538794803, C912H1752N278O465S7, C923H1756N274O464S5
0.07163218382356054, C918H1760N270O469S6, C923H1756N274O464S5
0.13150896124545222, C914H1752N274O471S5, C923H1756N274O464S5
