<0.0018706348255866736, C922H1756N276O465S4, C922H1756N276O465S4
0.4390443231328311, C929H1833N277O448S7, C922H1756N276O465S4
0.05861755309428126, C918H1760N278O466S4, C922H1756N276O465S4
0.09559607359409908, C916H1756N272O473S4, C922H1756N276O465S4
0.07052301742710657, C920H1760N274O466S5, C922H1756N276O465S4
0.08482496945704915, C915H1756N274O470S5, C922H1756N276O465S4
0.17245304941775536, C922H1748N272O467S5, C922H1756N276O465S4
0.10142815148666198, C916H1756N272O471S5, C922H1756N276O465S4
0.3971907477317905, C902H1857N271O470S8, C922H1756N276O465S4
0.16696199963761507, C915H1756N274O468S6, C922H1756N276O465S4
0.24831817100588255, C919H1748N270O469S6, C922H1756N276O465S4
0.04290316394477188, C923H1760N276O464S4, C922H1756N276O465S4
0.12973718002758808, C915H1752N272O472S5, C922H1756N276O465S4
0.17992810425590453, C919H1756N274O465S6, C922H1756N276O465S4
0.11958059370993948, C923H1760N268O469S5, C922H1756N276O465S4
0.10848865048110176, C923H1756N274O464S5, C922H1756N276O465S4
0.08414103117585416, C916H1752N278O468S4, C922H1756N276O465S4
0.10066097832619204, C918H1768N274O467S5, C922H1756N276O465S4
0.17475348592534953, C912H1748N276O473S4, C922H1756N276O465S4
0.3807615727775057, C918H1744N270O466S8, C922H1756N276O465S4
0.2802093930448079, C916H1740N272O470S6, C922H1756N276O465S4
0.13336641817694095, C917H1748N274O471S4, C922H1756N276O465S4
0.03970954876568849, C924H1760N274O465S4, C922H1756N276O465S4
0.17611453176591516, C916H1744N274O472S4, C922H1756N276O465S4
0.203719768289111, C923H1760N268O467S6, C922H1756N276O465S4
0.09087335882776708, C918H1760N270O471S5, C922H1756N276O465S4
0.14362360151295986, C922H1756N268O470S5, C922H1756N276O465S4
0.08811068187372756, C922H1768N266O471S5, C922H1756N276O465S4
0.20034299067499373, C918H1752N274O466S6, C922H1756N276O465S4
0.1897009805669069, C914H1752N274O469S6, C922H1756N276O465S4
0.23654723346942008, C912H1752N278O465S7, C922H1756N276O465S4
0.17497100171818344, C918H1760N270O469S6, C922H1756N276O465S4
0.11369129636060962, C914H1752N274O471S5, C922H1756N276O465S4
