<0.855486656936901, C916H1752N278O468S4, C916H1752N278O468S4
0.9323119509741545, C929H1833N277O448S7; C916H1752N278O468S4
0.8797105558803207, C918H1760N278O466S4; C916H1752N278O468S4
0.8546522770523528, C916H1756N272O473S4; C916H1752N278O468S4
0.8477318046549722, C920H1760N274O466S5; C916H1752N278O468S4
0.8382021745315881, C915H1756N274O470S5; C916H1752N278O468S4
0.8583795163919593, C922H1748N272O467S5; C916H1752N278O468S4
0.8419910058020988, C916H1756N272O471S5; C916H1752N278O468S4
0.9305447873002846, C902H1857N271O470S8; C916H1752N278O468S4
0.8445324563932017, C918H1752N274O464S7; C916H1752N278O468S4
0.8344646326847769, C915H1756N274O468S6; C916H1752N278O468S4
0.83791107173004, C924H1764N268O466S6; C916H1752N278O468S4
0.8648710169261713, C919H1748N270O469S6; C916H1752N278O468S4
0.8780811287308238, C923H1760N276O464S4; C916H1752N278O468S4
0.8603537096419219, C915H1752N272O472S5; C916H1752N278O468S4
0.8287812864424305, C919H1756N274O465S6; C916H1752N278O468S4
0.8447883947709304, C929H1748N274O458S6; C916H1752N278O468S4
0.8322011627399618, C923H1760N268O469S5; C916H1752N278O468S4
0.8397469399017351, C923H1756N274O464S5; C916H1752N278O468S4
0.8718822409265368, C918H1768N274O467S5; C916H1752N278O468S4
0.8647237818267304, C922H1756N276O465S4; C916H1752N278O468S4
0.8887486571108272, C912H1748N276O473S4; C916H1752N278O468S4
0.8747546545724798, C918H1744N270O466S8; C916H1752N278O468S4
0.8923966872697756, C916H1740N272O470S6; C916H1752N278O468S4
0.8783582829811075, C917H1748N274O471S4; C916H1752N278O468S4
0.8725921857363018, C924H1760N274O465S4; C916H1752N278O468S4
0.8987063865490482, C916H1744N274O472S4; C916H1752N278O468S4
0.8271621918118537, C923H1760N268O467S6; C916H1752N278O468S4
0.8311668116160221, C918H1760N270O471S5; C916H1752N278O468S4
0.8415906253195362, C922H1756N268O470S5; C916H1752N278O468S4
0.8516400278908345, C922H1768N266O471S5; C916H1752N278O468S4
0.8431405907079758, C918H1752N274O466S6; C916H1752N278O468S4
0.8498341616244052, C914H1752N274O469S6; C916H1752N278O468S4
0.8391602465010038, C912H1752N278O465S7; C916H1752N278O468S4
0.8278900629090474, C918H1760N270O469S6; C916H1752N278O468S4
0.8569478332539822, C914H1752N274O471S5; C916H1752N278O468S4
0.8514428370394402, C921H1764N274O461S7; C916H1752N278O468S4
