<0.13103990383539008, C923H1756N274O464S5, C923H1756N274O464S5
0.31533271790545714, C929H1833N277O448S7, C923H1756N274O464S5
0.15947430898078463, C920H1768N270O467S6, C923H1756N274O464S5
0.17855703250221933, C918H1760N278O466S4, C923H1756N274O464S5
0.2004375624352944, C916H1756N272O473S4, C923H1756N274O464S5
0.13637211057801032, C920H1760N274O466S5, C923H1756N274O464S5
0.15640585592833323, C915H1756N274O470S5, C923H1756N274O464S5
0.14862443576967455, C922H1748N272O467S5, C923H1756N274O464S5
0.15536593467861826, C916H1756N272O471S5, C923H1756N274O464S5
0.18304970747112312, C918H1752N274O464S7, C923H1756N274O464S5
0.13975109573376238, C915H1756N274O468S6, C923H1756N274O464S5
0.1678932639150514, C924H1764N268O466S6, C923H1756N274O464S5
0.1709347141648705, C919H1748N270O469S6, C923H1756N274O464S5
0.16267377974625882, C923H1760N276O464S4, C923H1756N274O464S5
0.17322585628867157, C915H1752N272O472S5, C923H1756N274O464S5
0.146953865142173, C919H1756N274O465S6, C923H1756N274O464S5
0.18056156581317157, C929H1748N274O458S6, C923H1756N274O464S5
0.13162230700673455, C923H1760N268O469S5, C923H1756N274O464S5
0.19667910788953938, C916H1752N278O468S4, C923H1756N274O464S5
0.1502558935898426, C918H1768N274O467S5, C923H1756N274O464S5
0.16406767253787122, C922H1756N276O465S4, C923H1756N274O464S5
0.2420918817998947, C918H1744N270O466S8, C923H1756N274O464S5
0.3445435236522025, C936H1817N247O448S18, C923H1756N274O464S5
0.20335326488803795, C916H1740N272O470S6, C923H1756N274O464S5
0.2171328677790525, C917H1748N274O471S4, C923H1756N274O464S5
0.15827809071991122, C924H1760N274O465S4, C923H1756N274O464S5
0.15979725787629706, C923H1760N268O467S6, C923H1756N274O464S5
0.1428425560864436, C918H1760N270O471S5, C923H1756N274O464S5
0.13777434461284568, C922H1756N268O470S5, C923H1756N274O464S5
0.1344760219989467, C922H1768N266O471S5, C923H1756N274O464S5
0.14948592726215795, C918H1752N274O466S6, C923H1756N274O464S5
0.1482179843468055, C914H1752N274O469S6, C923H1756N274O464S5
0.16405055115492356, C912H1752N278O465S7, C923H1756N274O464S5
0.14456866313652317, C918H1760N270O469S6, C923H1756N274O464S5
0.1730532950965624, C914H1752N274O471S5, C923H1756N274O464S5
