<0.004200171957897162, C922H1756N276O465S4, C922H1756N276O465S4
0.4369534123238199, C929H1833N277O448S7, C922H1756N276O465S4
0.0582712452796333, C918H1760N278O466S4, C922H1756N276O465S4
0.09559608223506885, C916H1756N272O473S4, C922H1756N276O465S4
0.07043354748986953, C920H1760N274O466S5, C922H1756N276O465S4
0.08438284538447965, C915H1756N274O470S5, C922H1756N276O465S4
0.17146972419648318, C922H1748N272O467S5, C922H1756N276O465S4
0.10089433165403465, C916H1756N272O471S5, C922H1756N276O465S4
0.39565062396902617, C902H1857N271O470S8, C922H1756N276O465S4
0.1657517167303697, C915H1756N274O468S6, C922H1756N276O465S4
0.24688556709265091, C919H1748N270O469S6, C922H1756N276O465S4
0.04290312616081028, C923H1760N276O464S4, C922H1756N276O465S4
0.12928308345590828, C915H1752N272O472S5, C922H1756N276O465S4
0.17850765138204183, C919H1756N274O465S6, C922H1756N276O465S4
0.11854028958212907, C923H1760N268O469S5, C922H1756N276O465S4
0.10746154982239109, C923H1756N274O464S5, C922H1756N276O465S4
0.08414104559987852, C916H1752N278O468S4, C922H1756N276O465S4
0.10066097832619209, C918H1768N274O467S5, C922H1756N276O465S4
0.17475349983955593, C912H1748N276O473S4, C922H1756N276O465S4
0.378634285893267, C918H1744N270O466S8, C922H1756N276O465S4
0.2789224642387587, C916H1740N272O470S6, C922H1756N276O465S4
0.13336642974031818, C917H1748N274O471S4, C922H1756N276O465S4
0.039709547874745475, C924H1760N274O465S4, C922H1756N276O465S4
0.17611455669976417, C916H1744N274O472S4, C922H1756N276O465S4
0.20211634169046866, C923H1760N268O467S6, C922H1756N276O465S4
0.09018139942380798, C918H1760N270O471S5, C922H1756N276O465S4
0.1426419735539293, C922H1756N268O470S5, C922H1756N276O465S4
0.0882237355015751, C922H1768N266O471S5, C922H1756N276O465S4
0.19897047503693222, C918H1752N274O466S6, C922H1756N276O465S4
0.18854359454872718, C914H1752N274O469S6, C922H1756N276O465S4
0.23494744211475815, C912H1752N278O465S7, C922H1756N276O465S4
0.17360226998234696, C918H1760N270O469S6, C922H1756N276O465S4
0.11333363951169226, C914H1752N274O471S5, C922H1756N276O465S4
