<1.0848799256394328, C916H1752N278O468S4, C916H1752N278O468S4
1.1349563590293048, C929H1833N277O448S7; C916H1752N278O468S4
1.1013561950717456, C918H1760N278O466S4; C916H1752N278O468S4
1.0845125872098418, C916H1756N272O473S4; C916H1752N278O468S4
1.069456641780119, C920H1760N274O466S5; C916H1752N278O468S4
1.0674021796684257, C915H1756N274O470S5; C916H1752N278O468S4
1.0802708508366046, C922H1748N272O467S5; C916H1752N278O468S4
1.0703156380975076, C916H1756N272O471S5; C916H1752N278O468S4
1.1403129433407726, C902H1857N271O470S8; C916H1752N278O468S4
1.0568337361347615, C918H1752N274O464S7; C916H1752N278O468S4
1.0548082200988707, C915H1756N274O468S6; C916H1752N278O468S4
1.0532941299526277, C924H1764N268O466S6; C916H1752N278O468S4
1.081586831655058, C919H1748N270O469S6; C916H1752N278O468S4
1.0987448303264367, C923H1760N276O464S4; C916H1752N278O468S4
1.0871640865255943, C915H1752N272O472S5; C916H1752N278O468S4
1.048764721743445, C919H1756N274O465S6; C916H1752N278O468S4
1.0580417006796634, C929H1748N274O458S6; C916H1752N278O468S4
1.0546101825104197, C923H1760N268O469S5; C916H1752N278O468S4
1.0608121336954284, C923H1756N274O464S5; C916H1752N278O468S4
1.089284885288267, C918H1768N274O467S5; C916H1752N278O468S4
1.0893864583167634, C922H1756N276O465S4; C916H1752N278O468S4
1.116882569127133, C912H1748N276O473S4; C916H1752N278O468S4
1.0777019500194378, C918H1744N270O466S8; C916H1752N278O468S4
1.1070135738592584, C916H1740N272O470S6; C916H1752N278O468S4
1.1056855625777602, C917H1748N274O471S4; C916H1752N278O468S4
1.0944281403091751, C924H1760N274O465S4; C916H1752N278O468S4
1.1243157537323638, C916H1744N274O472S4; C916H1752N278O468S4
1.046435545231352, C923H1760N268O467S6; C916H1752N278O468S4
1.0587062079250456, C918H1760N270O471S5; C916H1752N278O468S4
1.0649212665592833, C922H1756N268O470S5; C916H1752N278O468S4
1.0698610008598706, C922H1768N266O471S5; C916H1752N278O468S4
1.0618399963388385, C918H1752N274O466S6; C916H1752N278O468S4
1.0692973940618833, C914H1752N274O469S6; C916H1752N278O468S4
1.0569274003556517, C912H1752N278O465S7; C916H1752N278O468S4
1.0478279313717624, C918H1760N270O469S6; C916H1752N278O468S4
1.0844030051854432, C914H1752N274O471S5; C916H1752N278O468S4
1.0553541843919871, C921H1764N274O461S7; C916H1752N278O468S4
