<0.8642377992256702, C923H1756N274O464S5, C923H1756N274O464S5
0.8560835497915534, C929H1833N277O448S7, C923H1756N274O464S5
0.8488747073923231, C920H1768N270O467S6, C923H1756N274O464S5
0.8861608602951406, C918H1760N278O466S4, C923H1756N274O464S5
0.8974807769943709, C916H1756N272O473S4, C923H1756N274O464S5
0.8656135169037139, C920H1760N274O466S5, C923H1756N274O464S5
0.8748178870901249, C915H1756N274O470S5, C923H1756N274O464S5
0.8708694997115791, C922H1748N272O467S5, C923H1756N274O464S5
0.8740603521201886, C916H1756N272O471S5, C923H1756N274O464S5
0.8362790058946887, C918H1752N274O464S7, C923H1756N274O464S5
0.8548249478315179, C915H1756N274O468S6, C923H1756N274O464S5
0.8461837723182791, C924H1764N268O466S6, C923H1756N274O464S5
0.855622288695354, C919H1748N270O469S6, C923H1756N274O464S5
0.8801791731562555, C923H1760N276O464S4, C923H1756N274O464S5
0.8802893996778054, C915H1752N272O472S5, C923H1756N274O464S5
0.8509429034322606, C919H1756N274O465S6, C923H1756N274O464S5
0.845357030319894, C929H1748N274O458S6, C923H1756N274O464S5
0.8626682389435283, C923H1760N268O469S5, C923H1756N274O464S5
0.8975469331541716, C916H1752N278O468S4, C923H1756N274O464S5
0.865502402342122, C918H1768N274O467S5, C923H1756N274O464S5
0.8837794165528519, C922H1756N276O465S4, C923H1756N274O464S5
0.8214897769584208, C918H1744N270O466S8, C923H1756N274O464S5
0.6936009201195871, C936H1817N247O448S18, C923H1756N274O464S5
0.8686675043233294, C916H1740N272O470S6, C923H1756N274O464S5
0.9040730767289371, C917H1748N274O471S4, C923H1756N274O464S5
0.8793169842055569, C924H1760N274O465S4, C923H1756N274O464S5
0.8464638438946442, C923H1760N268O467S6, C923H1756N274O464S5
0.8684706334427672, C918H1760N270O471S5, C923H1756N274O464S5
0.8660320812719355, C922H1756N268O470S5, C923H1756N274O464S5
0.861049788476074, C922H1768N266O471S5, C923H1756N274O464S5
0.8533354900074731, C918H1752N274O466S6, C923H1756N274O464S5
0.8588384113502309, C914H1752N274O469S6, C923H1756N274O464S5
0.841501538501983, C912H1752N278O465S7, C923H1756N274O464S5
0.8504686302302704, C918H1760N270O469S6, C923H1756N274O464S5
0.8809225574653213, C914H1752N274O471S5, C923H1756N274O464S5
