<0.009349871658544803, C916H1752N278O468S4, C916H1752N278O468S4
0.4276268805861091, C929H1833N277O448S7, C916H1752N278O468S4
0.0855247049483515, C918H1760N278O466S4, C916H1752N278O468S4
0.015554321156550102, C916H1756N272O473S4, C916H1752N278O468S4
0.14395597473326183, C920H1760N274O466S5, C916H1752N278O468S4
0.08558987154553134, C915H1756N274O470S5, C916H1752N278O468S4
0.1710749376374978, C922H1748N272O467S5, C916H1752N278O468S4
0.1009145057874101, C916H1756N272O471S5, C916H1752N278O468S4
0.3794949319023874, C902H1857N271O470S8, C916H1752N278O468S4
0.28229697438516627, C918H1752N274O464S7, C916H1752N278O468S4
0.1707542800144333, C915H1756N274O468S6, C916H1752N278O468S4
0.24186756784326433, C924H1764N268O466S6, C916H1752N278O468S4
0.2471992958117642, C919H1748N270O469S6, C916H1752N278O468S4
0.1270485542307581, C923H1760N276O464S4, C916H1752N278O468S4
0.12537827723437972, C915H1752N272O472S5, C916H1752N278O468S4
0.18820824756777382, C919H1756N274O465S6, C916H1752N278O468S4
0.2684492775035825, C929H1748N274O458S6, C916H1752N278O468S4
0.13722582689376348, C923H1760N268O469S5, C916H1752N278O468S4
0.14567465176068423, C923H1756N274O464S5, C916H1752N278O468S4
0.18481078354403443, C918H1768N274O467S5, C916H1752N278O468S4
0.08426226473905214, C922H1756N276O465S4, C916H1752N278O468S4
0.09060371830219638, C912H1748N276O473S4, C916H1752N278O468S4
0.3850978040614392, C918H1744N270O466S8, C916H1752N278O468S4
0.272182869858936, C916H1740N272O470S6, C916H1752N278O468S4
0.06480773665380908, C917H1748N274O471S4, C916H1752N278O468S4
0.12385869394612233, C924H1760N274O465S4, C916H1752N278O468S4
0.09585114426692354, C916H1744N274O472S4, C916H1752N278O468S4
0.21519455249771982, C923H1760N268O467S6, C916H1752N278O468S4
0.10077252725791651, C918H1760N270O471S5, C916H1752N278O468S4
0.1454094949251909, C922H1756N268O470S5, C916H1752N278O468S4
0.17225475449165484, C922H1768N266O471S5, C916H1752N278O468S4
0.20376593782501745, C918H1752N274O466S6, C916H1752N278O468S4
0.18974232696975726, C914H1752N274O469S6, C916H1752N278O468S4
0.24168903946141318, C912H1752N278O465S7, C916H1752N278O468S4
0.18243449524321687, C918H1760N270O469S6, C916H1752N278O468S4
0.10964028844474483, C914H1752N274O471S5, C916H1752N278O468S4
0.31662657969452196, C921H1764N274O461S7, C916H1752N278O468S4
