<2.230050709635728, C922H1756N276O465S4, C922H1756N276O465S4
2.192701132847733, C929H1833N277O448S7, C922H1756N276O465S4
2.2323698256471327, C918H1760N278O466S4, C922H1756N276O465S4
2.235033418222161, C916H1756N272O473S4, C922H1756N276O465S4
2.2147565808525735, C920H1760N274O466S5, C922H1756N276O465S4
2.2186716625465976, C915H1756N274O470S5, C922H1756N276O465S4
2.2149767757425916, C922H1748N272O467S5, C922H1756N276O465S4
2.2176412672073016, C916H1756N272O471S5, C922H1756N276O465S4
2.194490826548727, C902H1857N271O470S8, C922H1756N276O465S4
2.2027395013101, C915H1756N274O468S6, C922H1756N276O465S4
2.200720788162039, C919H1748N270O469S6, C922H1756N276O465S4
2.228928190778254, C923H1760N276O464S4, C922H1756N276O465S4
2.2197217623394834, C915H1752N272O472S5, C922H1756N276O465S4
2.2003529043428873, C919H1756N274O465S6, C922H1756N276O465S4
2.211404286150108, C923H1760N268O469S5, C922H1756N276O465S4
2.213451232116984, C923H1756N274O464S5, C922H1756N276O465S4
2.2363668230009077, C916H1752N278O468S4, C922H1756N276O465S4
2.2156331739469795, C918H1768N274O467S5, C922H1756N276O465S4
2.244048990594154, C912H1748N276O473S4, C922H1756N276O465S4
2.169683995337494, C918H1744N270O466S8, C922H1756N276O465S4
2.2058946640719856, C916H1740N272O470S6, C922H1756N276O465S4
2.2376217488420918, C917H1748N274O471S4, C922H1756N276O465S4
2.227911064919645, C924H1760N274O465S4, C922H1756N276O465S4
2.241452663173034, C916H1744N274O472S4, C922H1756N276O465S4
2.1962865312719453, C923H1760N268O467S6, C922H1756N276O465S4
2.2150421809620537, C918H1760N270O471S5, C922H1756N276O465S4
2.212581612013626, C922H1756N268O470S5, C922H1756N276O465S4
2.210845078165024, C922H1768N266O471S5, C922H1756N276O465S4
2.201338691448944, C918H1752N274O466S6, C922H1756N276O465S4
2.2042337452780663, C914H1752N274O469S6, C922H1756N276O465S4
2.19018709657484, C912H1752N278O465S7, C922H1756N276O465S4
2.1996428454961374, C918H1760N270O469S6, C922H1756N276O465S4
2.220679594514711, C914H1752N274O471S5, C922H1756N276O465S4
