<0.3704605544250211, C922H1756N276O465S4, C922H1756N276O465S4
0.35043568127158226, C929H1833N277O448S7, C922H1756N276O465S4
0.37239280314011325, C918H1760N278O466S4, C922H1756N276O465S4
0.3817589413707844, C916H1756N272O473S4, C922H1756N276O465S4
0.36101093797977707, C920H1760N274O466S5, C922H1756N276O465S4
0.36243043951873205, C915H1756N274O470S5, C922H1756N276O465S4
0.3594220702496017, C922H1748N272O467S5, C922H1756N276O465S4
0.361800380322191, C916H1756N272O471S5, C922H1756N276O465S4
0.3741608575758671, C902H1857N271O470S8, C922H1756N276O465S4
0.35054126841808586, C915H1756N274O468S6, C922H1756N276O465S4
0.34818533608824054, C919H1748N270O469S6, C922H1756N276O465S4
0.37059418710693265, C923H1760N276O464S4, C922H1756N276O465S4
0.36710990965176743, C915H1752N272O472S5, C922H1756N276O465S4
0.3528754162438108, C919H1756N274O465S6, C922H1756N276O465S4
0.35773181427310735, C923H1760N268O469S5, C922H1756N276O465S4
0.36015985500399217, C923H1756N274O464S5, C922H1756N276O465S4
0.38119211230466615, C916H1752N278O468S4, C922H1756N276O465S4
0.36654476810175474, C918H1768N274O467S5, C922H1756N276O465S4
0.40394579706435274, C912H1748N276O473S4, C922H1756N276O465S4
0.3314806432799114, C918H1744N270O466S8, C922H1756N276O465S4
0.35915193914548776, C916H1740N272O470S6, C922H1756N276O465S4
0.3900794186986782, C917H1748N274O471S4, C922H1756N276O465S4
0.3696365610686583, C924H1760N274O465S4, C922H1756N276O465S4
0.4024234833416887, C916H1744N274O472S4, C922H1756N276O465S4
0.3552777956505261, C923H1760N268O467S6, C922H1756N276O465S4
0.35887684420574345, C918H1760N270O471S5, C922H1756N276O465S4
0.35691644736619976, C922H1756N268O470S5, C922H1756N276O465S4
0.3612540423663202, C922H1768N266O471S5, C922H1756N276O465S4
0.34960061735034426, C918H1752N274O466S6, C922H1756N276O465S4
0.3507637028920613, C914H1752N274O469S6, C922H1756N276O465S4
0.3438397497841, C912H1752N278O465S7, C922H1756N276O465S4
0.3513992280346314, C918H1760N270O469S6, C922H1756N276O465S4
0.3674901307008757, C914H1752N274O471S5, C922H1756N276O465S4
