<0.6448595294876606, C916H1752N278O468S4, C916H1752N278O468S4
0.7573597932336593, C929H1833N277O448S7; C916H1752N278O468S4
0.6750402168000769, C918H1760N278O466S4; C916H1752N278O468S4
0.6443371908643125, C916H1756N272O473S4; C916H1752N278O468S4
0.6412138258146278, C920H1760N274O466S5; C916H1752N278O468S4
0.6280306596926072, C915H1756N274O470S5; C916H1752N278O468S4
0.6542615801529844, C922H1748N272O467S5; C916H1752N278O468S4
0.6329143065838279, C916H1756N272O471S5; C916H1752N278O468S4
0.7498423985321393, C902H1857N271O470S8; C916H1752N278O468S4
0.6369182199532025, C924H1764N268O466S6; C916H1752N278O468S4
0.6476666711763808, C918H1752N274O464S7; C916H1752N278O468S4
0.6271274221104202, C915H1756N274O468S6; C916H1752N278O468S4
0.6651839728100384, C919H1748N270O469S6; C916H1752N278O468S4
0.6742520945981894, C923H1760N276O464S4; C916H1752N278O468S4
0.6546205257606982, C915H1752N272O472S5; C916H1752N278O468S4
0.6212264122413624, C919H1756N274O465S6; C916H1752N278O468S4
0.6230713889463313, C923H1760N268O469S5; C916H1752N278O468S4
0.6317439746275166, C923H1756N274O464S5; C916H1752N278O468S4
0.6702993083502212, C918H1768N274O467S5; C916H1752N278O468S4
0.6575250417081234, C922H1756N276O465S4; C916H1752N278O468S4
0.6854521256997337, C912H1748N276O473S4; C916H1752N278O468S4
0.6939253120472517, C918H1744N270O466S8; C916H1752N278O468S4
0.6972714612945236, C916H1740N272O470S6; C916H1752N278O468S4
0.6721894295158901, C917H1748N274O471S4; C916H1752N278O468S4
0.6678403998710771, C924H1760N274O465S4; C916H1752N278O468S4
0.6963600383647247, C916H1744N274O472S4; C916H1752N278O468S4
0.623206359978145, C923H1760N268O467S6; C916H1752N278O468S4
0.62088676706791, C918H1760N270O471S5; C916H1752N278O468S4
0.634364564044531, C922H1756N268O470S5; C916H1752N278O468S4
0.6468702322540687, C922H1768N266O471S5; C916H1752N278O468S4
0.6380382301864241, C918H1752N274O466S6; C916H1752N278O468S4
0.6457386051220463, C914H1752N274O469S6; C916H1752N278O468S4
0.6392962405179738, C912H1752N278O465S7; C916H1752N278O468S4
0.6199110279508953, C918H1760N270O469S6; C916H1752N278O468S4
0.6501601105489548, C914H1752N274O471S5; C916H1752N278O468S4
