<5.1869214628935, C923H1756N274O464S5, C923H1756N274O464S5
5.163330778308947, C929H1833N277O448S7, C923H1756N274O464S5
5.170391533851943, C920H1768N270O467S6, C923H1756N274O464S5
5.209959147092559, C918H1760N278O466S4, C923H1756N274O464S5
5.213096322144601, C916H1756N272O473S4, C923H1756N274O464S5
5.188657467005247, C920H1760N274O466S5, C923H1756N274O464S5
5.194588226264117, C915H1756N274O470S5, C923H1756N274O464S5
5.189366387828936, C922H1748N272O467S5, C923H1756N274O464S5
5.193335798344277, C916H1756N272O471S5, C923H1756N274O464S5
5.15786490567225, C918H1752N274O464S7, C923H1756N274O464S5
5.1761127884793074, C915H1756N274O468S6, C923H1756N274O464S5
5.167611760853841, C924H1764N268O466S6, C923H1756N274O464S5
5.173832508758035, C919H1748N270O469S6, C923H1756N274O464S5
5.204558278402781, C923H1760N276O464S4, C923H1756N274O464S5
5.195933220170747, C915H1752N272O472S5, C923H1756N274O464S5
5.172962517322419, C919H1756N274O465S6, C923H1756N274O464S5
5.16725713966051, C929H1748N274O458S6, C923H1756N274O464S5
5.18500560666035, C923H1760N268O469S5, C923H1756N274O464S5
5.214600104626733, C916H1752N278O468S4, C923H1756N274O464S5
5.189144393580951, C918H1768N274O467S5, C923H1756N274O464S5
5.206601968876916, C922H1756N276O465S4, C923H1756N274O464S5
5.1423517522265385, C918H1744N270O466S8, C923H1756N274O464S5
4.9876454002703765, C936H1817N247O448S18, C923H1756N274O464S5
5.179389804425699, C916H1740N272O470S6, C923H1756N274O464S5
5.214875038046342, C917H1748N274O471S4, C923H1756N274O464S5
5.203367683442497, C924H1760N274O465S4, C923H1756N274O464S5
5.168414261461735, C923H1760N268O467S6, C923H1756N274O464S5
5.189912883401649, C918H1760N270O471S5, C923H1756N274O464S5
5.186736743241604, C922H1756N268O470S5, C923H1756N274O464S5
5.184053523344238, C922H1768N266O471S5, C923H1756N274O464S5
5.17436160724014, C918H1752N274O466S6, C923H1756N274O464S5
5.178044611330368, C914H1752N274O469S6, C923H1756N274O464S5
5.162698562229496, C912H1752N278O465S7, C923H1756N274O464S5
5.172407069527076, C918H1760N270O469S6, C923H1756N274O464S5
5.197122978068257, C914H1752N274O471S5, C923H1756N274O464S5
