<0.019619898145368467, C923H1756N274O464S5, C923H1756N274O464S5
0.4012902991156325, C929H1833N277O448S7; C923H1756N274O464S5
0.11680216227199387, C920H1768N270O467S6; C923H1756N274O464S5
0.1794696314650889, C918H1760N278O466S4; C923H1756N274O464S5
0.1435668290432536, C916H1756N272O473S4; C923H1756N274O464S5
0.06025663905220297, C920H1760N274O466S5; C923H1756N274O464S5
0.07292933076124487, C915H1756N274O470S5; C923H1756N274O464S5
0.07119477682984242, C922H1748N272O467S5; C923H1756N274O464S5
0.07474620941545454, C916H1756N272O471S5; C923H1756N274O464S5
0.17813242839785634, C918H1752N274O464S7; C923H1756N274O464S5
0.05171230330964158, C915H1756N274O468S6; C923H1756N274O464S5
0.11585387193951907, C924H1764N268O466S6; C923H1756N274O464S5
0.15143535081628556, C919H1748N270O469S6; C923H1756N274O464S5
0.15191315988914128, C923H1760N276O464S4; C923H1756N274O464S5
0.1178108244434844, C915H1752N272O472S5; C923H1756N274O464S5
0.0662685195226929, C919H1756N274O465S6; C923H1756N274O464S5
0.1564297188241979, C929H1748N274O458S6; C923H1756N274O464S5
0.013363013126274637, C923H1760N268O469S5; C923H1756N274O464S5
0.14220823010204722, C916H1752N278O468S4; C923H1756N274O464S5
0.12729167941047012, C918H1768N274O467S5; C923H1756N274O464S5
0.12807436360680763, C922H1756N276O465S4; C923H1756N274O464S5
0.31495904726311413, C918H1744N270O466S8; C923H1756N274O464S5
0.3690507468889842, C936H1817N247O448S18; C923H1756N274O464S5
0.19279915141308807, C916H1740N272O470S6; C923H1756N274O464S5
0.17844989578102108, C917H1748N274O471S4; C923H1756N274O464S5
0.13602523131456348, C924H1760N274O465S4; C923H1756N274O464S5
0.0937802929155154, C923H1760N268O467S6; C923H1756N274O464S5
0.04548573416623013, C918H1760N270O471S5; C923H1756N274O464S5
0.03621555092827068, C922H1756N268O470S5; C923H1756N274O464S5
0.05868295623739101, C922H1768N266O471S5; C923H1756N274O464S5
0.09133985363582298, C918H1752N274O466S6; C923H1756N274O464S5
0.0812220522081106, C914H1752N274O469S6; C923H1756N274O464S5
0.13389376704441558, C912H1752N278O465S7; C923H1756N274O464S5
0.06050290131225132, C918H1760N270O469S6; C923H1756N274O464S5
0.11460728018865717, C914H1752N274O471S5; C923H1756N274O464S5
