<1.5267493378453139, C922H1756N276O465S4, C922H1756N276O465S4
1.5519931523992936, C929H1833N277O448S7; C922H1756N276O465S4
1.5290911733657588, C918H1760N278O466S4; C922H1756N276O465S4
1.537943028619184, C916H1756N272O473S4; C922H1756N276O465S4
1.5069750925025867, C920H1760N274O466S5; C922H1756N276O465S4
1.519001193216471, C915H1756N274O470S5; C922H1756N276O465S4
1.5256560487617228, C922H1748N272O467S5; C922H1756N276O465S4
1.520738884920464, C916H1756N272O471S5; C922H1756N276O465S4
1.558475731023845, C902H1857N271O470S8; C922H1756N276O465S4
1.50039147263711, C915H1756N274O468S6; C922H1756N276O465S4
1.5167568523256902, C919H1748N270O469S6; C922H1756N276O465S4
1.523653795852076, C923H1760N276O464S4; C922H1756N276O465S4
1.5342680529720942, C915H1752N272O472S5; C922H1756N276O465S4
1.4911806036859339, C919H1756N274O465S6; C922H1756N276O465S4
1.502274835630622, C923H1760N268O469S5; C922H1756N276O465S4
1.504087004557707, C923H1756N274O464S5; C922H1756N276O465S4
1.536790136139983, C916H1752N278O468S4; C922H1756N276O465S4
1.5073045197167314, C918H1768N274O467S5; C922H1756N276O465S4
1.5650740742167084, C912H1748N276O473S4; C922H1756N276O465S4
1.4984731586076292, C918H1744N270O466S8; C922H1756N276O465S4
1.5404674585392821, C916H1740N272O470S6; C922H1756N276O465S4
1.5543855940170286, C917H1748N274O471S4; C922H1756N276O465S4
1.5227208318893737, C924H1760N274O465S4; C922H1756N276O465S4
1.5693810054951063, C916H1744N274O472S4; C922H1756N276O465S4
1.4853432636612163, C923H1760N268O467S6; C922H1756N276O465S4
1.5096979099829455, C918H1760N270O471S5; C922H1756N276O465S4
1.5133243330807828, C922H1756N268O470S5; C922H1756N276O465S4
1.501474734335827, C922H1768N266O471S5; C922H1756N276O465S4
1.5026442529699215, C918H1752N274O466S6; C922H1756N276O465S4
1.5128370129415785, C914H1752N274O469S6; C922H1756N276O465S4
1.4923619877355192, C912H1752N278O465S7; C922H1756N276O465S4
1.491280031945605, C918H1760N270O469S6; C922H1756N276O465S4
1.5326602956980595, C914H1752N274O471S5; C922H1756N276O465S4
