<0.2269406415016564, C923H1756N274O464S5, C923H1756N274O464S5
0.4655846799797844, C929H1833N277O448S7; C923H1756N274O464S5
0.24930302008997315, C920H1768N270O467S6; C923H1756N274O464S5
0.3199509035025468, C918H1760N278O466S4; C923H1756N274O464S5
0.29114629107241313, C916H1756N272O473S4; C923H1756N274O464S5
0.24649662863684244, C920H1760N274O466S5; C923H1756N274O464S5
0.24459415002816784, C915H1756N274O470S5; C923H1756N274O464S5
0.26904537449610827, C922H1748N272O467S5; C923H1756N274O464S5
0.24974691090188583, C916H1756N272O471S5; C923H1756N274O464S5
0.26663647869764817, C918H1752N274O464S7; C923H1756N274O464S5
0.2255802319880663, C915H1756N274O468S6; C923H1756N274O464S5
0.23134117082314168, C924H1764N268O466S6; C923H1756N274O464S5
0.28799864627501154, C919H1748N270O469S6; C923H1756N274O464S5
0.3053758643558376, C923H1760N276O464S4; C923H1756N274O464S5
0.285245174274462, C915H1752N272O472S5; C923H1756N274O464S5
0.2136028533238819, C919H1756N274O465S6; C923H1756N274O464S5
0.25423684300703264, C929H1748N274O458S6; C923H1756N274O464S5
0.2173107660555662, C923H1760N268O469S5; C923H1756N274O464S5
0.28932604796365846, C916H1752N278O468S4; C923H1756N274O464S5
0.2915361155292185, C918H1768N274O467S5; C923H1756N274O464S5
0.2854285800488771, C922H1756N276O465S4; C923H1756N274O464S5
0.3670089216302793, C918H1744N270O466S8; C923H1756N274O464S5
0.3025465934600102, C936H1817N247O448S18; C923H1756N274O464S5
0.34032859330352844, C916H1740N272O470S6; C923H1756N274O464S5
0.3268754087961697, C917H1748N274O471S4; C923H1756N274O464S5
0.29473206028230625, C924H1760N274O465S4; C923H1756N274O464S5
0.21600062877678117, C923H1760N268O467S6; C923H1756N274O464S5
0.22730383430715168, C918H1760N270O471S5; C923H1756N274O464S5
0.23809991980198816, C922H1756N268O470S5; C923H1756N274O464S5
0.2503173348995909, C922H1768N266O471S5; C923H1756N274O464S5
0.24221331536822172, C918H1752N274O466S6; C923H1756N274O464S5
0.2567366682953096, C914H1752N274O469S6; C923H1756N274O464S5
0.24787752605149885, C912H1752N278O465S7; C923H1756N274O464S5
0.21284754388438668, C918H1760N270O469S6; C923H1756N274O464S5
0.2803252071808529, C914H1752N274O471S5; C923H1756N274O464S5
