<0.0011061010320115845, C922H1756N276O465S4, C922H1756N276O465S4
0.43988799025756786, C929H1833N277O448S7, C922H1756N276O465S4
0.058743643298202114, C918H1760N278O466S4, C922H1756N276O465S4
0.0955960692736132, C916H1756N272O473S4, C922H1756N276O465S4
0.07077025073196166, C920H1760N274O466S5, C922H1756N276O465S4
0.08501763246937526, C915H1756N274O470S5, C922H1756N276O465S4
0.1728770989933831, C922H1748N272O467S5, C922H1756N276O465S4
0.10166025658533591, C916H1756N272O471S5, C922H1756N276O465S4
0.3978308928671737, C902H1857N271O470S8, C922H1756N276O465S4
0.1674755661072078, C915H1756N274O468S6, C922H1756N276O465S4
0.2489188686400725, C919H1748N270O469S6, C922H1756N276O465S4
0.042903184232383464, C923H1760N276O464S4, C922H1756N276O465S4
0.12993492850427912, C915H1752N272O472S5, C922H1756N276O465S4
0.18052443743315663, C919H1756N274O465S6, C922H1756N276O465S4
0.12002648297653944, C923H1760N268O469S5, C922H1756N276O465S4
0.10893223223484086, C923H1756N274O464S5, C922H1756N276O465S4
0.08414102396383895, C916H1752N278O468S4, C922H1756N276O465S4
0.10066097832619006, C918H1768N274O467S5, C922H1756N276O465S4
0.17475347896824284, C912H1748N276O473S4, C922H1756N276O465S4
0.3816143681653179, C918H1744N270O466S8, C922H1756N276O465S4
0.28075224955037936, C916H1740N272O470S6, C922H1756N276O465S4
0.1333664123952502, C917H1748N274O471S4, C922H1756N276O465S4
0.03970955227963602, C924H1760N274O465S4, C922H1756N276O465S4
0.1761145192989896, C916H1744N274O472S4, C922H1756N276O465S4
0.20438745048283674, C923H1760N268O467S6, C922H1756N276O465S4
0.09117283058457103, C918H1760N270O471S5, C922H1756N276O465S4
0.14404629628025495, C922H1756N268O470S5, C922H1756N276O465S4
0.0881058740220502, C922H1768N266O471S5, C922H1756N276O465S4
0.20092137954370265, C918H1752N274O466S6, C922H1756N276O465S4
0.19019426575156714, C914H1752N274O469S6, C922H1756N276O465S4
0.23721162033502885, C912H1752N278O465S7, C922H1756N276O465S4
0.1755485466078743, C918H1760N270O469S6, C922H1756N276O465S4
0.1138474908493067, C914H1752N274O471S5, C922H1756N276O465S4
