<0.0011319764681396122, C916H1752N278O468S4, C916H1752N278O468S4
0.4353813334927895, C929H1833N277O448S7, C916H1752N278O468S4
0.24303056517047655, C920H1768N270O467S6, C916H1752N278O468S4
0.08552470494835406, C918H1760N278O466S4, C916H1752N278O468S4
0.01420334527274585, C916H1756N272O473S4, C916H1752N278O468S4
0.14395596618869633, C920H1760N274O466S5, C916H1752N278O468S4
0.08771655160704221, C915H1756N274O470S5, C916H1752N278O468S4
0.17568033328376614, C922H1748N272O467S5, C916H1752N278O468S4
0.10412238700151533, C916H1756N272O471S5, C916H1752N278O468S4
0.3856984958361683, C902H1857N271O470S8, C916H1752N278O468S4
0.28932344134956095, C918H1752N274O464S7, C916H1752N278O468S4
0.17593213899318916, C915H1756N274O468S6, C916H1752N278O468S4
0.25308560286095316, C919H1748N270O469S6, C916H1752N278O468S4
0.12704855423075997, C923H1760N276O464S4, C916H1752N278O468S4
0.12853472671342223, C915H1752N272O472S5, C916H1752N278O468S4
0.19288626008595014, C919H1756N274O465S6, C916H1752N278O468S4
0.27547540561466083, C929H1748N274O458S6, C916H1752N278O468S4
0.13461608220798502, C923H1760N268O469S5, C916H1752N278O468S4
0.14565488624483172, C923H1756N274O464S5, C916H1752N278O468S4
0.18481078354403602, C918H1768N274O467S5, C916H1752N278O468S4
0.08426225270475399, C922H1756N276O465S4, C916H1752N278O468S4
0.09060371991662326, C912H1748N276O473S4, C916H1752N278O468S4
0.39294605333901045, C918H1744N270O466S8, C916H1752N278O468S4
0.27765297827117913, C916H1740N272O470S6, C916H1752N278O468S4
0.0653146685735004, C917H1748N274O471S4, C916H1752N278O468S4
0.12385869394612399, C924H1760N274O465S4, C916H1752N278O468S4
0.09599213815874866, C916H1744N274O472S4, C916H1752N278O468S4
0.2196466041115793, C923H1760N268O467S6, C916H1752N278O468S4
0.09776699495549733, C918H1760N270O471S5, C916H1752N278O468S4
0.14994681194404672, C922H1756N268O470S5, C916H1752N278O468S4
0.1722547461721689, C922H1768N266O471S5, C916H1752N278O468S4
0.20948305096715553, C918H1752N274O466S6, C916H1752N278O468S4
0.19484606087685635, C914H1752N274O469S6, C916H1752N278O468S4
0.2480579217826016, C912H1752N278O465S7, C916H1752N278O468S4
0.18719201703925997, C918H1760N270O469S6, C916H1752N278O468S4
0.1125444404791248, C914H1752N274O471S5, C916H1752N278O468S4
