<1.7142896003633068, C916H1752N278O468S4, C916H1752N278O468S4
1.7216576093688314, C929H1833N277O448S7; C916H1752N278O468S4
1.7192871955736269, C918H1760N278O466S4; C916H1752N278O468S4
1.713860394040256, C916H1756N272O473S4; C916H1752N278O468S4
1.6921731202712, C920H1760N274O466S5; C916H1752N278O468S4
1.695983273136448, C915H1756N274O470S5; C916H1752N278O468S4
1.7023012226219103, C922H1748N272O467S5; C916H1752N278O468S4
1.6975150629591789, C916H1756N272O471S5; C916H1752N278O468S4
1.7297500078257442, C902H1857N271O470S8; C916H1752N278O468S4
1.6655846808623833, C924H1764N268O466S6; C916H1752N278O468S4
1.6659558103832348, C918H1752N274O464S7; C916H1752N278O468S4
1.6785060927711357, C915H1756N274O468S6; C916H1752N278O468S4
1.693087757460494, C919H1748N270O469S6; C916H1752N278O468S4
1.7153441893228938, C923H1760N276O464S4; C916H1752N278O468S4
1.7096132051433335, C915H1752N272O472S5; C916H1752N278O468S4
1.670005554360384, C919H1756N274O465S6; C916H1752N278O468S4
1.6821879807533646, C923H1760N268O469S5; C916H1752N278O468S4
1.686080092073326, C923H1756N274O464S5; C916H1752N278O468S4
1.702043133109252, C918H1768N274O467S5; C916H1752N278O468S4
1.7119790635595789, C922H1756N276O465S4; C916H1752N278O468S4
1.7382623019618388, C912H1748N276O473S4; C916H1752N278O468S4
1.6723321845827643, C918H1744N270O466S8; C916H1752N278O468S4
1.7149847760581924, C916H1740N272O470S6; C916H1752N278O468S4
1.7283596450622025, C917H1748N274O471S4; C916H1752N278O468S4
1.7126387135663506, C924H1760N274O465S4; C916H1752N278O468S4
1.741640858577135, C916H1744N274O472S4; C916H1752N278O468S4
1.6641057534154804, C923H1760N268O467S6; C916H1752N278O468S4
1.6881995121784483, C918H1760N270O471S5; C916H1752N278O468S4
1.6909365954833158, C922H1756N268O470S5; C916H1752N278O468S4
1.6892213834594587, C922H1768N266O471S5; C916H1752N278O468S4
1.6804726425764285, C918H1752N274O466S6; C916H1752N278O468S4
1.6898334918561628, C914H1752N274O469S6; C916H1752N278O468S4
1.6697832322790203, C912H1752N278O465S7; C916H1752N278O468S4
1.6700350918272708, C918H1760N270O469S6; C916H1752N278O468S4
1.7081813757723507, C914H1752N274O471S5; C916H1752N278O468S4
