<0.131198999911347, C916H1752N278O468S4, C916H1752N278O468S4
0.31855649189238777, C929H1833N277O448S7, C916H1752N278O468S4
0.1482527597363527, C918H1760N278O466S4, C916H1752N278O468S4
0.13175908722454427, C916H1756N272O473S4, C916H1752N278O468S4
0.18896262949228357, C920H1760N274O466S5, C916H1752N278O468S4
0.15695665712338433, C915H1756N274O470S5, C916H1752N278O468S4
0.1814695047220716, C922H1748N272O467S5, C916H1752N278O468S4
0.16002830699880755, C916H1756N272O471S5, C916H1752N278O468S4
0.2947603942454326, C902H1857N271O470S8, C916H1752N278O468S4
0.25632162589374474, C918H1752N274O464S7, C916H1752N278O468S4
0.19857820252715552, C915H1756N274O468S6, C916H1752N278O468S4
0.2136736265136275, C919H1748N270O469S6, C916H1752N278O468S4
0.16937253108300537, C923H1760N276O464S4, C916H1752N278O468S4
0.1591936493770753, C915H1752N272O472S5, C916H1752N278O468S4
0.2201951658201142, C919H1756N274O465S6, C916H1752N278O468S4
0.26253227074089347, C929H1748N274O458S6, C916H1752N278O468S4
0.19290248511144817, C923H1760N268O469S5, C916H1752N278O468S4
0.19594583395698667, C923H1756N274O464S5, C916H1752N278O468S4
0.152148123902427, C922H1756N276O465S4, C916H1752N278O468S4
0.20648138229962926, C918H1768N274O467S5, C916H1752N278O468S4
0.15097554752111447, C912H1748N276O473S4, C916H1752N278O468S4
0.2954746501672686, C918H1744N270O466S8, C916H1752N278O468S4
0.22031139910467767, C916H1740N272O470S6, C916H1752N278O468S4
0.13937946054527253, C917H1748N274O471S4, C916H1752N278O468S4
0.16916829426730207, C924H1760N274O465S4, C916H1752N278O468S4
0.1514071825839906, C916H1744N274O472S4, C916H1752N278O468S4
0.17015160076596206, C918H1760N270O471S5, C916H1752N278O468S4
0.18216770755859593, C922H1756N268O470S5, C916H1752N278O468S4
0.20521114283394018, C922H1768N266O471S5, C916H1752N278O468S4
0.20874929727139624, C918H1752N274O466S6, C916H1752N278O468S4
0.192345564185477, C914H1752N274O469S6, C916H1752N278O468S4
0.22965166370403756, C912H1752N278O465S7, C916H1752N278O468S4
0.21536211346859344, C918H1760N270O469S6, C916H1752N278O468S4
0.15483871168550392, C914H1752N274O471S5, C916H1752N278O468S4
