<1.081869754323801, C916H1752N278O468S4, C916H1752N278O468S4
1.1316256389123898, C929H1833N277O448S7; C916H1752N278O468S4
1.0696938821761586, C920H1768N270O467S6; C916H1752N278O468S4
1.1002984417802928, C918H1760N278O466S4; C916H1752N278O468S4
1.0808935405153224, C916H1756N272O473S4; C916H1752N278O468S4
1.0696240016285428, C920H1760N274O466S5; C916H1752N278O468S4
1.0639530257254033, C915H1756N274O470S5; C916H1752N278O468S4
1.0784285991165967, C922H1748N272O467S5; C916H1752N278O468S4
1.0666830840007409, C916H1756N272O471S5; C916H1752N278O468S4
1.1343749027935437, C902H1857N271O470S8; C916H1752N278O468S4
1.058713888743323, C918H1752N274O464S7; C916H1752N278O468S4
1.056176764994895, C915H1756N274O468S6; C916H1752N278O468S4
1.0816503497874317, C919H1748N270O469S6; C916H1752N278O468S4
1.098183435822469, C923H1760N276O464S4; C916H1752N278O468S4
1.082491882180075, C915H1752N272O472S5; C916H1752N278O468S4
1.0516093996267282, C919H1756N274O465S6; C916H1752N278O468S4
1.0607244733172134, C929H1748N274O458S6; C916H1752N278O468S4
1.0556731484737336, C923H1760N268O469S5; C916H1752N278O468S4
1.0622034119905557, C923H1756N274O464S5; C916H1752N278O468S4
1.0898909886194161, C918H1768N274O467S5; C916H1752N278O468S4
1.0877648896822159, C922H1756N276O465S4; C916H1752N278O468S4
1.110098467268768, C912H1748N276O473S4; C916H1752N278O468S4
1.0804644771942253, C918H1744N270O466S8; C916H1752N278O468S4
1.1048604248934641, C916H1740N272O470S6; C916H1752N278O468S4
1.1009475767981203, C917H1748N274O471S4; C916H1752N278O468S4
1.0935700583281418, C924H1760N274O465S4; C916H1752N278O468S4
1.1183703629681745, C916H1744N274O472S4; C916H1752N278O468S4
1.049388831219941, C923H1760N268O467S6; C916H1752N278O468S4
1.0566270227192334, C918H1760N270O471S5; C916H1752N278O468S4
1.0640743212048644, C922H1756N268O470S5; C916H1752N278O468S4
1.0716021583090156, C922H1768N266O471S5; C916H1752N278O468S4
1.0636037999987003, C918H1752N274O466S6; C916H1752N278O468S4
1.0690930149988853, C914H1752N274O469S6; C916H1752N278O468S4
1.0584130213310048, C912H1752N278O465S7; C916H1752N278O468S4
1.0506076837694538, C918H1760N270O469S6; C916H1752N278O468S4
1.079969878853118, C914H1752N274O471S5; C916H1752N278O468S4
