<0.002159955859020093, C923H1756N274O464S5, C923H1756N274O464S5
0.4053789902062617, C929H1833N277O448S7, C923H1756N274O464S5
0.09751481483516151, C920H1768N270O467S6, C923H1756N274O464S5
0.1615716527617843, C918H1760N278O466S4, C923H1756N274O464S5
0.15696205593539275, C916H1756N272O473S4, C923H1756N274O464S5
0.041127413139828005, C920H1760N274O466S5, C923H1756N274O464S5
0.0887304080498608, C915H1756N274O470S5, C923H1756N274O464S5
0.08853573932629194, C922H1748N272O467S5, C923H1756N274O464S5
0.09194353464930795, C916H1756N272O471S5, C923H1756N274O464S5
0.1876654147981756, C918H1752N274O464S7, C923H1756N274O464S5
0.06805291988716754, C915H1756N274O468S6, C923H1756N274O464S5
0.09635121711120777, C924H1764N268O466S6, C923H1756N274O464S5
0.16512344137523485, C919H1748N270O469S6, C923H1756N274O464S5
0.13348582948796303, C923H1760N276O464S4, C923H1756N274O464S5
0.1347067039274126, C915H1752N272O472S5, C923H1756N274O464S5
0.07947276233513596, C919H1756N274O465S6, C923H1756N274O464S5
0.16642997010258953, C929H1748N274O458S6, C923H1756N274O464S5
0.014285763465287869, C923H1760N268O469S5, C923H1756N274O464S5
0.14550699279453208, C916H1752N278O468S4, C923H1756N274O464S5
0.10812749539576985, C918H1768N274O467S5, C923H1756N274O464S5
0.10961736597463743, C922H1756N276O465S4, C923H1756N274O464S5
0.3187308757113492, C918H1744N270O466S8, C923H1756N274O464S5
0.3469952077965774, C936H1817N247O448S18, C923H1756N274O464S5
0.20717382808940188, C916H1740N272O470S6, C923H1756N274O464S5
0.19473239004626963, C917H1748N274O471S4, C923H1756N274O464S5
0.11758246463311652, C924H1760N274O465S4, C923H1756N274O464S5
0.1042146173318522, C923H1760N268O467S6, C923H1756N274O464S5
0.05240365420452206, C918H1760N270O471S5, C923H1756N274O464S5
0.053916590876530585, C922H1756N268O470S5, C923H1756N274O464S5
0.03972617299843082, C922H1768N266O471S5, C923H1756N274O464S5
0.10614289765414614, C918H1752N274O466S6, C923H1756N274O464S5
0.09762294054433436, C914H1752N274O469S6, C923H1756N274O464S5
0.14619924859535685, C912H1752N278O465S7, C923H1756N274O464S5
0.07440783599553319, C918H1760N270O469S6, C923H1756N274O464S5
0.1315090283604384, C914H1752N274O471S5, C923H1756N274O464S5
