<0.4662694014807966, C922H1756N276O465S4, C922H1756N276O465S4
0.6270116856959782, C929H1833N277O448S7; C922H1756N276O465S4
0.4715490096423418, C918H1760N278O466S4; C922H1756N276O465S4
0.48259854728585805, C916H1756N272O473S4; C922H1756N276O465S4
0.4516856647586285, C920H1760N274O466S5; C922H1756N276O465S4
0.4617898345083626, C915H1756N274O470S5; C922H1756N276O465S4
0.4928428426290299, C922H1748N272O467S5; C922H1756N276O465S4
0.4677233920476517, C916H1756N272O471S5; C922H1756N276O465S4
0.6167029606406916, C902H1857N271O470S8; C922H1756N276O465S4
0.46234385594144345, C915H1756N274O468S6; C922H1756N276O465S4
0.511258437137978, C919H1748N270O469S6; C922H1756N276O465S4
0.46632601399092083, C923H1760N276O464S4; C922H1756N276O465S4
0.49380524845054097, C915H1752N272O472S5; C922H1756N276O465S4
0.4573175710929599, C919H1756N274O465S6; C922H1756N276O465S4
0.44812144755564637, C923H1760N268O469S5; C922H1756N276O465S4
0.45087940136968774, C923H1756N274O464S5; C922H1756N276O465S4
0.47727607283571744, C916H1752N278O468S4; C922H1756N276O465S4
0.4566202436707821, C918H1768N274O467S5; C922H1756N276O465S4
0.5326555544326921, C912H1748N276O473S4; C922H1756N276O465S4
0.5543111461393229, C918H1744N270O466S8; C922H1756N276O465S4
0.5484222722648073, C916H1740N272O470S6; C922H1756N276O465S4
0.5144657698839638, C917H1748N274O471S4; C922H1756N276O465S4
0.46468211327649495, C924H1760N274O465S4; C922H1756N276O465S4
0.5440996653767867, C916H1744N274O472S4; C922H1756N276O465S4
0.4591636620536905, C923H1760N268O467S6; C922H1756N276O465S4
0.4495956923193986, C918H1760N270O471S5; C922H1756N276O465S4
0.4690588305208029, C922H1756N268O470S5; C922H1756N276O465S4
0.4507031582562876, C922H1768N266O471S5; C922H1756N276O465S4
0.4776113029934076, C918H1752N274O466S6; C922H1756N276O465S4
0.4843635787741579, C914H1752N274O469S6; C922H1756N276O465S4
0.48068209910978693, C912H1752N278O465S7; C922H1756N276O465S4
0.4558595641681197, C918H1760N270O469S6; C922H1756N276O465S4
0.4883576672616706, C914H1752N274O471S5; C922H1756N276O465S4
