<5.198551221579539, C922H1756N276O465S4, C922H1756N276O465S4
5.155313451561111, C929H1833N277O448S7, C922H1756N276O465S4
5.201823895862243, C918H1760N278O466S4, C922H1756N276O465S4
5.20453572377115, C916H1756N272O473S4, C922H1756N276O465S4
5.181414194525984, C920H1760N274O466S5, C922H1756N276O465S4
5.186389109551898, C915H1756N274O470S5, C922H1756N276O465S4
5.181367983289286, C922H1748N272O467S5, C922H1756N276O465S4
5.185135004940769, C916H1756N272O471S5, C922H1756N276O465S4
5.156180975667912, C902H1857N271O470S8, C922H1756N276O465S4
5.168802967219725, C915H1756N274O468S6, C922H1756N276O465S4
5.1661890936120685, C919H1748N270O469S6, C922H1756N276O465S4
5.196943581083044, C923H1760N276O464S4, C922H1756N276O465S4
5.187288787365424, C915H1752N272O472S5, C922H1756N276O465S4
5.166177874299301, C919H1756N274O465S6, C922H1756N276O465S4
5.177754949095588, C923H1760N268O469S5, C922H1756N276O465S4
5.179776994195907, C923H1756N274O464S5, C922H1756N276O465S4
5.206096738618041, C916H1752N278O468S4, C922H1756N276O465S4
5.182227681639007, C918H1768N274O467S5, C922H1756N276O465S4
5.211515414521766, C912H1748N276O473S4, C922H1756N276O465S4
5.136014850116486, C918H1744N270O466S8, C922H1756N276O465S4
5.170901641258137, C916H1740N272O470S6, C922H1756N276O465S4
5.206103888932272, C917H1748N274O471S4, C922H1756N276O465S4
5.195751966728799, C924H1760N274O465S4, C922H1756N276O465S4
5.208586166658033, C916H1744N274O472S4, C922H1756N276O465S4
5.162041654738034, C923H1760N268O467S6, C922H1756N276O465S4
5.182140637264023, C918H1760N270O471S5, C922H1756N276O465S4
5.179060419279989, C922H1756N268O470S5, C922H1756N276O465S4
5.177129083292453, C922H1768N266O471S5, C922H1756N276O465S4
5.167151351352546, C918H1752N274O466S6, C922H1756N276O465S4
5.170311218088781, C914H1752N274O469S6, C922H1756N276O465S4
5.1558569949443624, C912H1752N278O465S7, C922H1756N276O465S4
5.165518636281986, C918H1760N270O469S6, C922H1756N276O465S4
5.18848066143226, C914H1752N274O471S5, C922H1756N276O465S4
