<0.0017983814697086445, C922H1756N276O465S4, C922H1756N276O465S4
0.44049850666305274, C929H1833N277O448S7, C922H1756N276O465S4
0.05882585233672312, C918H1760N278O466S4, C922H1756N276O465S4
0.09559606567320887, C916H1756N272O473S4, C922H1756N276O465S4
0.07101172264486628, C920H1760N274O466S5, C922H1756N276O465S4
0.08516064120412314, C915H1756N274O470S5, C922H1756N276O465S4
0.17320110100009484, C922H1748N272O467S5, C922H1756N276O465S4
0.10183565358256476, C916H1756N272O471S5, C922H1756N276O465S4
0.39831157035536235, C902H1857N271O470S8, C922H1756N276O465S4
0.167855311543735, C915H1756N274O468S6, C922H1756N276O465S4
0.24936640732954515, C919H1748N270O469S6, C922H1756N276O465S4
0.042903202072661434, C923H1760N276O464S4, C922H1756N276O465S4
0.13008145840142255, C915H1752N272O472S5, C922H1756N276O465S4
0.18096745038002793, C919H1756N274O465S6, C922H1756N276O465S4
0.1203681011912123, C923H1760N268O469S5, C922H1756N276O465S4
0.10927238255666931, C923H1756N274O464S5, C922H1756N276O465S4
0.08414101795382681, C916H1752N278O468S4, C922H1756N276O465S4
0.1006609783261896, C918H1768N274O467S5, C922H1756N276O465S4
0.17475347317065718, C912H1748N276O473S4, C922H1756N276O465S4
0.38223158151956965, C918H1744N270O466S8, C922H1756N276O465S4
0.28114607384973217, C916H1740N272O470S6, C922H1756N276O465S4
0.133366407577176, C917H1748N274O471S4, C922H1756N276O465S4
0.039709555456366494, C924H1760N274O465S4, C922H1756N276O465S4
0.1761145089098861, C916H1744N274O472S4, C922H1756N276O465S4
0.2048870444956236, C923H1760N268O467S6, C922H1756N276O465S4
0.0913967172583905, C918H1760N270O471S5, C922H1756N276O465S4
0.14436914891620267, C922H1756N268O470S5, C922H1756N276O465S4
0.0881050306410836, C922H1768N266O471S5, C922H1756N276O465S4
0.2013487569272037, C918H1752N274O466S6, C922H1756N276O465S4
0.1905623171820136, C914H1752N274O469S6, C922H1756N276O465S4
0.23771136356222505, C912H1752N278O465S7, C922H1756N276O465S4
0.17597427677506675, C918H1760N270O469S6, C922H1756N276O465S4
0.11396499444351488, C914H1752N274O471S5, C922H1756N276O465S4
