<1.7216612613882696, C923H1756N274O464S5, C923H1756N274O464S5
1.7581182091007532, C929H1833N277O448S7; C923H1756N274O464S5
1.7069513080582364, C920H1768N270O467S6; C923H1756N274O464S5
1.7546955993157676, C918H1760N278O466S4; C923H1756N274O464S5
1.7545243747280344, C916H1756N272O473S4; C923H1756N274O464S5
1.7269959859762114, C920H1760N274O466S5; C923H1756N274O464S5
1.732760358930094, C915H1756N274O470S5; C923H1756N274O464S5
1.7402977344508292, C922H1748N272O467S5; C923H1756N274O464S5
1.7345487625231355, C916H1756N272O471S5; C923H1756N274O464S5
1.6975897321325981, C918H1752N274O464S7; C923H1756N274O464S5
1.715669788663319, C915H1756N274O468S6; C923H1756N274O464S5
1.696968098131395, C924H1764N268O466S6; C923H1756N274O464S5
1.731778589022576, C919H1748N270O469S6; C923H1756N274O464S5
1.7487419926374548, C923H1760N276O464S4; C923H1756N274O464S5
1.7474970505011616, C915H1752N272O472S5; C923H1756N274O464S5
1.7060912282258491, C919H1756N274O465S6; C923H1756N274O464S5
1.7002418240249941, C929H1748N274O458S6; C923H1756N274O464S5
1.7182294295644684, C923H1760N268O469S5; C923H1756N274O464S5
1.75431294296751, C916H1752N278O468S4; C923H1756N274O464S5
1.7347750179109906, C918H1768N274O467S5; C923H1756N274O464S5
1.74705573777668, C922H1756N276O465S4; C923H1756N274O464S5
1.7023558364618905, C918H1744N270O466S8; C923H1756N274O464S5
1.5334696168470061, C936H1817N247O448S18; C923H1756N274O464S5
1.7553948607312457, C916H1740N272O470S6; C923H1756N274O464S5
1.7694685141461246, C917H1748N274O471S4; C923H1756N274O464S5
1.7463369657138312, C924H1760N274O465S4; C923H1756N274O464S5
1.6979986837867578, C923H1760N268O467S6; C923H1756N274O464S5
1.7244819388882664, C918H1760N270O471S5; C923H1756N274O464S5
1.728116723406788, C922H1756N268O470S5; C923H1756N274O464S5
1.7235733331590184, C922H1768N266O471S5; C923H1756N274O464S5
1.717824081819096, C918H1752N274O466S6; C923H1756N274O464S5
1.7278462858673256, C914H1752N274O469S6; C923H1756N274O464S5
1.7054733486084706, C912H1752N278O465S7; C923H1756N274O464S5
1.706435546115343, C918H1760N270O469S6; C923H1756N274O464S5
1.7459261258592282, C914H1752N274O471S5; C923H1756N274O464S5
