<1.321315160066603, C922H1756N276O465S4, C922H1756N276O465S4
1.3580728102836763, C929H1833N277O448S7; C922H1756N276O465S4
1.3239603645253624, C918H1760N278O466S4; C922H1756N276O465S4
1.332473980277626, C916H1756N272O473S4; C922H1756N276O465S4
1.3015226200756362, C920H1760N274O466S5; C922H1756N276O465S4
1.3138344180523245, C915H1756N274O470S5; C922H1756N276O465S4
1.3228297522685644, C922H1748N272O467S5; C922H1756N276O465S4
1.3160883108666555, C916H1756N272O471S5; C922H1756N276O465S4
1.3666105018999468, C902H1857N271O470S8; C922H1756N276O465S4
1.296253839883907, C915H1756N274O468S6; C922H1756N276O465S4
1.3167021995728765, C919H1748N270O469S6; C922H1756N276O465S4
1.3185751861393882, C923H1760N276O464S4; C922H1756N276O465S4
1.3313162160904017, C915H1752N272O472S5; C922H1756N276O465S4
1.2877055580155323, C919H1756N274O465S6; C922H1756N276O465S4
1.2964589175897503, C923H1760N268O469S5; C922H1756N276O465S4
1.2984147273218936, C923H1756N274O464S5; C922H1756N276O465S4
1.33092594042512, C916H1752N278O468S4; C922H1756N276O465S4
1.3024309905540032, C918H1768N274O467S5; C922H1756N276O465S4
1.3619946391839235, C912H1748N276O473S4; C922H1756N276O465S4
1.301315960511697, C918H1744N270O466S8; C922H1756N276O465S4
1.3421408048269412, C916H1740N272O470S6; C922H1756N276O465S4
1.3510648232349214, C917H1748N274O471S4; C922H1756N276O465S4
1.3175343297256612, C924H1760N274O465S4; C922H1756N276O465S4
1.3677607712050275, C916H1744N274O472S4; C922H1756N276O465S4
1.2832574781632315, C923H1760N268O467S6; C922H1756N276O465S4
1.3038837031750807, C918H1760N270O471S5; C922H1756N276O465S4
1.3089182797782657, C922H1756N268O470S5; C922H1756N276O465S4
1.2963054603889184, C922H1768N266O471S5; C922H1756N276O465S4
1.3001624628817752, C918H1752N274O466S6; C922H1756N276O465S4
1.3100123499305927, C914H1752N274O469S6; C922H1756N276O465S4
1.2918882311007243, C912H1752N278O465S7; C922H1756N276O465S4
1.2875376541890937, C918H1760N270O469S6; C922H1756N276O465S4
1.3291912294114592, C914H1752N274O471S5; C922H1756N276O465S4
