<0.0017951780277560023, C916H1752N278O468S4, C916H1752N278O468S4
0.4359752103045901, C929H1833N277O448S7, C916H1752N278O468S4
0.08552470494835392, C918H1760N278O466S4, C916H1752N278O468S4
0.014212150524810443, C916H1756N272O473S4, C916H1752N278O468S4
0.14395596618869774, C920H1760N274O466S5, C916H1752N278O468S4
0.08800922355369527, C915H1756N274O470S5, C916H1752N278O468S4
0.17608929154011002, C922H1748N272O467S5, C916H1752N278O468S4
0.10443967059581132, C916H1756N272O471S5, C916H1752N278O468S4
0.3862056689262695, C902H1857N271O470S8, C916H1752N278O468S4
0.2898867107817855, C918H1752N274O464S7, C916H1752N278O468S4
0.1763949169617621, C915H1756N274O468S6, C916H1752N278O468S4
0.25358904586272885, C919H1748N270O469S6, C916H1752N278O468S4
0.1270485542307607, C923H1760N276O464S4, C916H1752N278O468S4
0.12883178653813485, C915H1752N272O472S5, C916H1752N278O468S4
0.1933859025224847, C919H1756N274O465S6, C916H1752N278O468S4
0.27604106443581444, C929H1748N274O458S6, C916H1752N278O468S4
0.13493021926744134, C923H1760N268O469S5, C916H1752N278O468S4
0.14565488527061382, C923H1756N274O464S5, C916H1752N278O468S4
0.0842622527047542, C922H1756N276O465S4, C916H1752N278O468S4
0.1848107835440358, C918H1768N274O467S5, C916H1752N278O468S4
0.09060372012904683, C912H1748N276O473S4, C916H1752N278O468S4
0.3935460017439627, C918H1744N270O466S8, C916H1752N278O468S4
0.2781322739760426, C916H1740N272O470S6, C916H1752N278O468S4
0.0653676063897548, C917H1748N274O471S4, C916H1752N278O468S4
0.1238586939461237, C924H1760N274O465S4, C916H1752N278O468S4
0.09600644376630427, C916H1744N274O472S4, C916H1752N278O468S4
0.098131944318381, C918H1760N270O471S5, C916H1752N278O468S4
0.15035408281760734, C922H1756N268O470S5, C916H1752N278O468S4
0.17225474617216893, C922H1768N266O471S5, C916H1752N278O468S4
0.20998050975537544, C918H1752N274O466S6, C916H1752N278O468S4
0.19529688345366122, C914H1752N274O469S6, C916H1752N278O468S4
0.24857044500677497, C912H1752N278O465S7, C916H1752N278O468S4
0.1876857556108224, C918H1760N270O469S6, C916H1752N278O468S4
0.11281691140971623, C914H1752N274O471S5, C916H1752N278O468S4
