<1.297923628382258, C916H1752N278O468S4, C916H1752N278O468S4
1.3286999453656314, C929H1833N277O448S7; C916H1752N278O468S4
1.3106011305874565, C918H1760N278O466S4; C916H1752N278O468S4
1.2973596269022838, C916H1756N272O473S4; C916H1752N278O468S4
1.2803309580746216, C920H1760N274O466S5; C916H1752N278O468S4
1.2802781504303216, C915H1756N274O470S5; C916H1752N278O468S4
1.2898356195968368, C922H1748N272O467S5; C916H1752N278O468S4
1.2825627267304254, C916H1756N272O471S5; C916H1752N278O468S4
1.3341243000854452, C902H1857N271O470S8; C916H1752N278O468S4
1.2633660792860117, C918H1752N274O464S7; C916H1752N278O468S4
1.2653725581708164, C915H1756N274O468S6; C916H1752N278O468S4
1.2614337828976374, C924H1764N268O466S6; C916H1752N278O468S4
1.2864211328872042, C919H1748N270O469S6; C916H1752N278O468S4
1.3076970523759446, C923H1760N276O464S4; C916H1752N278O468S4
1.297257438446565, C915H1752N272O472S5; C916H1752N278O468S4
1.2587814300441853, C919H1756N274O465S6; C916H1752N278O468S4
1.2661023683376167, C929H1748N274O458S6; C916H1752N278O468S4
1.2669898782379345, C923H1760N268O469S5; C916H1752N278O468S4
1.2723637052427894, C923H1756N274O464S5; C916H1752N278O468S4
1.2967208623971969, C918H1768N274O467S5; C916H1752N278O468S4
1.3003836471099364, C922H1756N276O465S4; C916H1752N278O468S4
1.3250976696171053, C912H1748N276O473S4; C916H1752N278O468S4
1.2752544716605454, C918H1744N270O466S8; C916H1752N278O468S4
1.3097065282603448, C916H1740N272O470S6; C916H1752N278O468S4
1.315757568817974, C917H1748N274O471S4; C916H1752N278O468S4
1.303916829022989, C924H1760N274O465S4; C916H1752N278O468S4
1.3317772013568414, C916H1744N274O472S4; C916H1752N278O468S4
1.2559724558125762, C923H1760N268O467S6; C916H1752N278O468S4
1.2720367101052668, C918H1760N270O471S5; C916H1752N278O468S4
1.2763683075536372, C922H1756N268O470S5; C916H1752N278O468S4
1.279293074997498, C922H1768N266O471S5; C916H1752N278O468S4
1.2703113068531877, C918H1752N274O466S6; C916H1752N278O468S4
1.2781602169061124, C914H1752N274O469S6; C916H1752N278O468S4
1.2637876381976851, C912H1752N278O465S7; C916H1752N278O468S4
1.2581879172314696, C918H1760N270O469S6; C916H1752N278O468S4
1.2951009102588764, C914H1752N274O471S5; C916H1752N278O468S4
1.2616728559885104, C921H1764N274O461S7; C916H1752N278O468S4
