<0.43293357349718614, C916H1752N278O468S4, C916H1752N278O468S4
0.6028113395332688, C929H1833N277O448S7; C916H1752N278O468S4
0.47373084319553116, C918H1760N278O466S4; C916H1752N278O468S4
0.4317690557661284, C916H1756N272O473S4; C916H1752N278O468S4
0.4429404491656753, C920H1760N274O466S5; C916H1752N278O468S4
0.42016771940287384, C915H1756N274O470S5; C916H1752N278O468S4
0.4556405936297584, C922H1748N272O467S5; C916H1752N278O468S4
0.42701306048247495, C916H1756N272O471S5; C916H1752N278O468S4
0.5806290974075965, C902H1857N271O470S8; C916H1752N278O468S4
0.45783737719348805, C924H1764N268O466S6; C916H1752N278O468S4
0.475161502179396, C918H1752N274O464S7; C916H1752N278O468S4
0.4318046878343126, C915H1756N274O468S6; C916H1752N278O468S4
0.48042203374081344, C919H1748N270O469S6; C916H1752N278O468S4
0.4748792535165769, C923H1760N276O464S4; C916H1752N278O468S4
0.45064621988809395, C915H1752N272O472S5; C916H1752N278O468S4
0.43052999477921094, C919H1756N274O465S6; C916H1752N278O468S4
0.4233038009497496, C923H1760N268O469S5; C916H1752N278O468S4
0.4335180332004637, C923H1756N274O464S5; C916H1752N278O468S4
0.47971457644804133, C918H1768N274O467S5; C916H1752N278O468S4
0.4520573302858749, C922H1756N276O465S4; C916H1752N278O468S4
0.4765666025099656, C912H1748N276O473S4; C916H1752N278O468S4
0.5410658668252611, C918H1744N270O466S8; C916H1752N278O468S4
0.512515299014031, C916H1740N272O470S6; C916H1752N278O468S4
0.46338258456363074, C917H1748N274O471S4; C916H1752N278O468S4
0.467907636997289, C924H1760N274O465S4; C916H1752N278O468S4
0.4906035649758175, C916H1744N274O472S4; C916H1752N278O468S4
0.43882700928406476, C923H1760N268O467S6; C916H1752N278O468S4
0.4163147499133194, C918H1760N270O471S5; C916H1752N278O468S4
0.43329630281503223, C922H1756N268O470S5; C916H1752N278O468S4
0.45267521629044516, C922H1768N266O471S5; C916H1752N278O468S4
0.4481045522545242, C918H1752N274O466S6; C916H1752N278O468S4
0.45153725119848226, C914H1752N274O469S6; C916H1752N278O468S4
0.45787324074003916, C912H1752N278O465S7; C916H1752N278O468S4
0.42795021732529787, C918H1760N270O469S6; C916H1752N278O468S4
0.44398467398781777, C914H1752N274O471S5; C916H1752N278O468S4
