<2.159667140793142, C916H1752N278O468S4, C916H1752N278O468S4
2.1480815896256957, C929H1833N277O448S7; C916H1752N278O468S4
2.161076759538544, C918H1760N278O466S4; C916H1752N278O468S4
2.15885982265011, C916H1756N272O473S4; C916H1752N278O468S4
2.1358427280857475, C920H1760N274O466S5; C916H1752N278O468S4
2.1410457458282113, C915H1756N274O470S5; C916H1752N278O468S4
2.1434142262962714, C922H1748N272O467S5; C916H1752N278O468S4
2.1417428531612104, C916H1756N272O471S5; C916H1752N278O468S4
2.1539683682485005, C902H1857N271O470S8; C916H1752N278O468S4
2.1052709197870167, C918H1752N274O464S7; C916H1752N278O468S4
2.1223502389259497, C915H1756N274O468S6; C916H1752N278O468S4
2.10824894878831, C924H1764N268O466S6; C916H1752N278O468S4
2.1312565712456824, C919H1748N270O469S6; C916H1752N278O468S4
2.1564251985090936, C923H1760N276O464S4; C916H1752N278O468S4
2.1510876889012622, C915H1752N272O472S5; C916H1752N278O468S4
2.114586759755668, C919H1756N274O465S6; C916H1752N278O468S4
2.1105236496389694, C929H1748N274O458S6; C916H1752N278O468S4
2.1278675020394386, C923H1760N268O469S5; C916H1752N278O468S4
2.131000554102656, C923H1756N274O464S5; C916H1752N278O468S4
2.1422229180065835, C918H1768N274O467S5; C916H1752N278O468S4
2.1553132810744446, C922H1756N276O465S4; C916H1752N278O468S4
2.1777347060901806, C912H1748N276O473S4; C916H1752N278O468S4
2.1059194187255135, C918H1744N270O466S8; C916H1752N278O468S4
2.1485503844301514, C916H1740N272O470S6; C916H1752N278O468S4
2.1701307306047326, C917H1748N274O471S4; C916H1752N278O468S4
2.154377340551541, C924H1760N274O465S4; C916H1752N278O468S4
2.1803998231432082, C916H1744N274O472S4; C916H1752N278O468S4
2.108114543042123, C923H1760N268O467S6; C916H1752N278O468S4
2.1340596593588383, C918H1760N270O471S5; C916H1752N278O468S4
2.1346956796875256, C922H1756N268O470S5; C916H1752N278O468S4
2.1320798246922847, C922H1768N266O471S5; C916H1752N278O468S4
2.1227189790299614, C918H1752N274O466S6; C916H1752N278O468S4
2.1309026595383593, C914H1752N274O469S6; C916H1752N278O468S4
2.110670117976783, C912H1752N278O465S7; C916H1752N278O468S4
2.1146801560296966, C918H1760N270O469S6; C916H1752N278O468S4
2.150490260319126, C914H1752N274O471S5; C916H1752N278O468S4
2.099234981901109, C921H1764N274O461S7; C916H1752N278O468S4
