<0.2591229138922049, C922H1756N276O465S4, C922H1756N276O465S4
0.2583273957857175, C929H1833N277O448S7, C922H1756N276O465S4
0.25995495291603293, C918H1760N278O466S4, C922H1756N276O465S4
0.2688181196378006, C916H1756N272O473S4, C922H1756N276O465S4
0.25843703665712453, C920H1760N274O466S5, C922H1756N276O465S4
0.2560209161941015, C915H1756N274O470S5, C922H1756N276O465S4
0.254913070875469, C922H1748N272O467S5, C922H1756N276O465S4
0.2558868603653976, C916H1756N272O471S5, C922H1756N276O465S4
0.28492147594948236, C902H1857N271O470S8, C922H1756N276O465S4
0.2528804322587975, C915H1756N274O468S6, C922H1756N276O465S4
0.25077019711352416, C919H1748N270O469S6, C922H1756N276O465S4
0.26095495445936706, C923H1760N276O464S4, C922H1756N276O465S4
0.26051621743270775, C915H1752N272O472S5, C922H1756N276O465S4
0.25796198901743367, C919H1756N274O465S6, C922H1756N276O465S4
0.2564291409393294, C923H1760N268O469S5, C922H1756N276O465S4
0.2582822339654041, C923H1756N274O464S5, C922H1756N276O465S4
0.2673392879842343, C916H1752N278O468S4, C922H1756N276O465S4
0.26556704593879865, C918H1768N274O467S5, C922H1756N276O465S4
0.291743220741627, C912H1748N276O473S4, C922H1756N276O465S4
0.25138831607548046, C918H1744N270O466S8, C922H1756N276O465S4
0.2597808508461431, C916H1740N272O470S6, C922H1756N276O465S4
0.2776867822088237, C917H1748N274O471S4, C922H1756N276O465S4
0.2603432208963803, C924H1760N274O465S4, C922H1756N276O465S4
0.29137029430524053, C916H1744N274O472S4, C922H1756N276O465S4
0.2638945067994606, C923H1760N268O467S6, C922H1756N276O465S4
0.2546508931587456, C918H1760N270O471S5, C922H1756N276O465S4
0.2539166802585211, C922H1756N268O470S5, C922H1756N276O465S4
0.2618348215926355, C922H1768N266O471S5, C922H1756N276O465S4
0.2526844938749925, C918H1752N274O466S6, C922H1756N276O465S4
0.25156190266097844, C914H1752N274O469S6, C922H1756N276O465S4
0.25318423509321253, C912H1752N278O465S7, C922H1756N276O465S4
0.2564897919015193, C918H1760N270O469S6, C922H1756N276O465S4
0.2603681311633676, C914H1752N274O471S5, C922H1756N276O465S4
