<1.51009619683967, C916H1752N278O468S4, C916H1752N278O468S4
1.5284465026536773, C929H1833N277O448S7; C916H1752N278O468S4
1.519163837311679, C918H1760N278O466S4; C916H1752N278O468S4
1.5093941213065287, C916H1756N272O473S4; C916H1752N278O468S4
1.4905198437601823, C920H1760N274O466S5; C916H1752N278O468S4
1.4920220561513573, C915H1756N274O470S5; C916H1752N278O468S4
1.4990089237861786, C922H1748N272O467S5; C916H1752N278O468S4
1.493731505186171, C916H1756N272O471S5; C916H1752N278O468S4
1.531718964550795, C902H1857N271O470S8; C916H1752N278O468S4
1.4708641324333884, C918H1752N274O464S7; C916H1752N278O468S4
1.4757388090665524, C915H1756N274O468S6; C916H1752N278O468S4
1.4929120923666233, C919H1748N270O469S6; C916H1752N278O468S4
1.51553173373817, C923H1760N276O464S4; C916H1752N278O468S4
1.5065088974288507, C915H1752N272O472S5; C916H1752N278O468S4
1.4691793959145139, C919H1756N274O465S6; C916H1752N278O468S4
1.4744480959307542, C929H1748N274O458S6; C916H1752N278O468S4
1.4787449402085906, C923H1760N268O469S5; C916H1752N278O468S4
1.4834289173175543, C923H1756N274O464S5; C916H1752N278O468S4
1.5102913519427212, C922H1756N276O465S4; C916H1752N278O468S4
1.5037150046865966, C918H1768N274O467S5; C916H1752N278O468S4
1.5342090083520405, C912H1748N276O473S4; C916H1752N278O468S4
1.4786106471387817, C918H1744N270O466S8; C916H1752N278O468S4
1.5136433431299123, C916H1740N272O470S6; C916H1752N278O468S4
1.5253777764457714, C917H1748N274O471S4; C916H1752N278O468S4
1.5123507826905076, C924H1760N274O465S4; C916H1752N278O468S4
1.5394856518085271, C916H1744N274O472S4; C916H1752N278O468S4
1.484276646626942, C918H1760N270O471S5; C916H1752N278O468S4
1.4872219317817428, C922H1756N268O470S5; C916H1752N278O468S4
1.4886223232115532, C922H1768N266O471S5; C916H1752N278O468S4
1.4793186985746627, C918H1752N274O466S6; C916H1752N278O468S4
1.4869862139199341, C914H1752N274O469S6; C916H1752N278O468S4
1.4714380923811996, C912H1752N278O465S7; C916H1752N278O468S4
1.4686541506326996, C918H1760N270O469S6; C916H1752N278O468S4
1.5049302873986494, C914H1752N274O471S5; C916H1752N278O468S4
